Milliseconds,X,Y,Z
4,0.34268188,4.529541,8.841492
22,0.45040894,4.6145325,7.606079
41,0.3570404,4.536728,8.016678
61,0.1583252,4.5151825,8.591293
82,0.057769775,4.3212433,9.0976715
101,-0.028427124,4.3894806,9.282013
121,0.115234375,4.354767,9.11084
142,0.35585022,4.438568,9.060562
161,0.47434998,4.3296204,8.849869
183,0.15592957,4.3619537,8.830719
201,0.17028809,4.4289856,8.8606415
221,0.26246643,4.510391,8.634384
242,0.31274414,4.536728,8.218994
261,0.33428955,4.470886,8.099289
281,0.37739563,4.4445496,8.667908
302,0.37379456,4.557083,8.416519
321,0.46357727,4.5187683,8.270462
341,0.31155396,4.4876404,7.972397
362,0.17149353,4.50441,8.527847
381,0.38098145,4.525955,9.341873
402,0.44084167,4.5642548,8.531433
421,0.48513794,4.3009033,8.138794
441,0.22177124,4.7091064,7.3343353
462,0.58688354,4.536728,7.479187
481,0.6539154,4.6851654,8.065765
502,0.6096344,4.6935425,9.400528
521,0.69821167,4.546295,10.181046
542,0.6096344,4.6456604,8.876205
561,0.766449,4.545105,8.20224
581,0.47795105,4.909027,7.5139008
602,0.82510376,4.7964935,7.281662
622,0.82270813,4.830017,7.776062
641,0.7401123,4.797699,8.393768
661,0.6970215,4.561859,8.612839
682,0.59765625,4.60376,8.57692
702,0.5150604,4.6384735,8.562561
722,0.7185669,4.6336975,8.244125
741,0.7879944,4.5822144,8.043015
761,0.5605469,4.572632,8.287231
782,0.53302,4.548691,8.825928
807,0.6814575,4.5786285,8.624817
821,0.4049225,4.8240356,8.344696
842,0.86820984,4.627701,7.948456
861,0.7221527,4.671997,7.990341
881,0.4731598,4.608551,8.1375885
902,0.33070374,4.5905914,8.606857
921,0.1690979,4.7366333,9.321518
941,0.6898346,4.704315,9.544189
962,0.88375854,4.801285,8.852264
981,0.8969269,4.683975,7.796417
1001,0.83229065,4.807266,6.9787903
1023,1.0214386,4.767761,6.778885
1041,0.48872375,4.964096,6.0187225
1061,0.45401,4.881485,7.8574677
1082,0.83348083,4.92099,8.315964
1101,1.1483307,4.596573,8.015488
1121,0.8813782,4.5582733,7.767685
1142,0.8346863,4.2613983,7.590515
1161,0.54977417,4.7713623,8.171112
1182,1.0872803,4.5307465,8.806763
1201,1.1914215,4.423004,8.681076
1222,1.0262146,4.2039337,8.047806
1241,0.68743896,3.7478333,7.064987
1262,0.26127625,3.2666016,7.829941
1281,-1.2961578,4.395462,8.992325
1302,-0.24629211,3.3767395,8.85466
1321,-0.6353607,3.1397095,8.387787
1341,-1.8013306,3.5419312,8.313568
1362,3.4371796,2.4370117,11.1064
1381,4.827011,3.3396301,10.372574
1401,3.5030212,4.7809296,5.7457886
1422,3.1450958,5.1604156,0.58747864
1441,4.3589478,3.5587006,2.1377258
1461,3.8118744,2.5854492,3.6161346
1481,5.909195,2.778183,4.1177216
1502,9.267059,1.7989502,5.581787
1521,8.846878,2.1856232,5.858307
1542,9.252701,0.6269989,4.4493256
1561,6.8321533,1.387146,2.3579865
1581,7.66893,1.8576202,0.37797546
1602,9.926666,1.5332031,-0.14634705
1621,8.885193,1.3452606,-0.72694397
1641,9.374802,0.49531555,0.5778961
1662,9.992508,0.47496033,0.026031494
1681,11.312912,0.87120056,-1.1100159
1702,10.593445,1.0735168,-2.8865051
1721,9.88118,0.30497742,-4.6187134
1741,9.720764,-0.14633179,-5.0173492
1762,8.597885,-0.31752014,-4.609146
1781,7.111084,-0.9555664,-3.4599152
1801,8.192062,-1.3973083,-4.300293
1822,10.9478,-1.5242004,-4.3864746
1841,9.730347,-1.9515686,-6.7531433
1861,9.54718,-2.11557,-8.506897
1882,10.904694,-2.625534,-6.6501923
1901,12.860764,-2.724884,-4.4164124
1921,14.962875,-3.2324524,-2.632721
1942,15.6236725,-2.890091,-1.8582001
1961,14.288895,-2.1419067,-3.3605652
1981,12.996033,-1.3937073,-5.246002
2001,11.664856,-1.1746368,-4.4654846
2022,10.209183,-0.5078583,-1.9396057
2041,9.196442,-0.18104553,-0.71017456
2062,7.422333,0.6066437,-0.58807373
2081,5.162201,0.8257141,-0.9567871
2101,4.6079407,1.169281,-0.4552002
2122,4.736038,1.71875,-2.0569153
2141,4.595978,1.6517181,-3.18219
2161,5.0341187,1.0950623,-3.8944702
2182,6.593933,0.30377197,-3.2073364
2201,8.110657,0.027252197,-3.130722
2221,9.905121,-0.16070557,-4.6857605
2242,11.1249695,-0.18704224,-8.535629
2261,10.972931,-0.53060913,-8.2638855
2281,10.306152,-0.60362244,-6.4813995
2302,9.294601,-0.9040985,-4.4283752
2321,9.367615,-0.5760956,-3.137909
2341,9.586685,-0.5988312,-3.407257
2362,8.011307,-0.11280823,-6.036087
2381,7.8604736,0.5336151,-4.8964386
2401,7.9873657,0.12181091,-4.364929
2422,8.357269,1.2195587,-4.4918213
2441,10.18045,1.3488464,-2.478302
2462,10.885544,0.37200928,-0.4085083
2481,10.19841,0.27864075,-3.513794
2501,6.921936,-0.44560242,-6.0492554
2522,6.26474,-0.878952,-4.1949463
2541,7.3145905,-0.80114746,-4.182968
2561,9.069534,1.105835,-4.3505707
2582,8.983353,-0.6993866,-6.799835
2601,7.4522552,-0.5329895,-5.8277893
2621,7.040451,-0.3737793,-4.22966
2642,6.8692627,-0.65031433,-4.2907104
2661,6.5879517,-1.8330536,-4.7204742
2681,10.289383,-2.756012,-2.5824432
2702,10.176865,-1.854599,-2.344223
2721,8.962997,-2.6351013,-4.0656586
2742,9.64296,-2.2005615,-0.89334106
2761,6.814209,-2.3358307,-3.8070831
2781,6.3592987,-2.3525848,-7.0105286
2802,7.5133057,-3.3916779,-5.7308197
2821,5.69252,-3.3114624,-5.5093536
2842,6.0289,-4.9203644,-5.1598053
2861,7.0416565,-5.9079742,-7.0272827
2882,7.052429,-7.721588,-4.617523
2901,8.239944,-8.182465,-4.727646
2922,8.380005,-7.8628387,-7.974182
2941,7.1793213,-8.247116,-6.712448
2961,7.3624725,-8.2291565,-7.5947113
2981,9.500504,-8.22197,-7.7934265
3001,3.2456512,2.3615875,-0.014663696
3021,5.795471,-2.8374176,-8.448242
3042,6.593933,-6.871643,-6.28627
3061,6.5352783,-7.886795,-5.6434326
3082,5.257965,-4.6941223,-4.7336426
3101,6.118683,-4.775528,-6.7184296
3121,5.655411,-4.6438446,-4.835388
3141,6.3186035,-5.0125427,-5.066437
3162,6.538864,-2.8386078,-7.3062134
3181,7.581543,-3.1857758,-6.4095764
3201,6.2240295,-3.7184753,-6.320999
3222,5.9774323,-5.010147,-4.940735
3241,5.131073,-3.9830475,-5.2866974
