Milliseconds,X,Y,Z
1,0.113663256,0.023943424,0.35883045
21,0.18594879,0.11660528,-0.876811
40,0.08342984,0.08777714,-0.4871626
60,-0.10755578,0.11893892,0.060199738
81,-0.21066755,-0.02951765,0.54147816
100,-0.32111377,0.06640291,0.7093096
120,-0.21096626,0.037702084,0.53310204
141,0.001932621,0.11165047,0.48629093
160,0.103691906,-0.014033318,0.2827797
180,-0.2103922,0.002252102,0.27064323
201,-0.18654364,0.05117464,0.3077383
220,-0.09558952,0.10422754,0.09491444
241,-0.056736946,0.095788956,-0.30144215
260,-0.047275662,0.0015010834,-0.40361595
280,-0.02143985,-0.04007864,0.17364693
300,-0.042889625,0.05386734,-0.067157745
321,0.038849026,-0.0067181587,-0.20017338
340,-0.120411366,-0.0494771,-0.48941517
361,-0.26440027,-0.027730942,0.064673424
380,-0.06667921,-0.011226654,0.87876606
400,-0.05109921,-0.007736206,0.08673859
421,-0.057560742,-0.30627108,-0.28131866
440,-0.35697925,0.069966316,-1.0624428
461,-0.004044354,-0.098475456,-0.9135275
480,0.076728106,0.08685398,-0.34521198
501,0.053019524,0.13996506,0.9617195
520,0.13751036,-0.007127285,1.7345886
541,-0.015782177,0.07036924,0.8084097
560,0.08765471,-0.18454981,-0.14515305
580,-0.25636858,0.08372879,-0.7709913
601,0.04665798,-0.084201336,-0.960721
621,0.034724474,-0.06719446,-0.6577339
641,-0.018240988,-0.0364666,0.12610722
660,-0.021922112,-0.21522331,0.30738544
680,-0.0886333,-0.14134073,0.24946117
700,-0.15454233,-0.09383869,0.22583485
721,0.04601705,-0.092350006,-0.09604263
740,0.10666549,-0.13643694,-0.29844093
760,-0.110429704,-0.12721586,-0.064427376
781,-0.12267172,-0.13344622,0.46179962
805,-0.0010664463,-0.139431,0.36909962
820,-0.24734634,0.12717628,-0.012991905
841,0.20383114,-0.08298159,-0.39872456
860,0.06010765,-0.03356886,-0.3579769
880,-0.1656565,-0.07464695,-0.2233572
901,-0.2703845,-0.0630126,0.22697926
920,-0.41653603,0.09800911,0.92962265
940,0.057221055,0.0432806,1.1602316
960,0.19016457,0.09191561,0.4971943
980,0.11750233,-0.13718987,-0.486166
1001,0.022669613,-0.09690142,-1.246767
1020,0.1930353,-0.18119335,-1.412015
1040,-0.39631712,0.043396473,-2.1723776
1061,-0.44608086,0.015176296,-0.35894394
1080,-0.103128254,0.11166811,0.06987381
1100,0.16063327,-0.16003132,-0.2545805
1121,-0.13181078,-0.14596033,-0.52680206
1140,-0.17914999,-0.37926435,-0.7351017
1160,-0.45729303,0.20695114,-0.19497299
1181,0.06967831,0.036886215,0.40263176
1200,0.12962759,-0.017844677,0.25248432
1221,-0.08960223,-0.21192265,-0.3863802
1240,-0.4920094,-0.65344906,-1.3611908
1261,-1.0442007,-1.1020184,-0.5863991
1280,-2.85954,0.061182022,0.60400105
1301,-2.1720498,-0.97780323,0.55280495
1320,-3.0197551,-1.2651138,0.2383728
1340,-4.712719,-0.90830135,0.3715067
1361,-0.24908304,-2.0375428,3.5078669
1380,0.5905819,-1.1973667,3.0948544
1400,-1.6582503,0.06228304,-0.7830043
1421,-2.5944781,0.4207821,-5.392643
1440,-1.7057538,-1.0203424,-3.6178584
1460,-2.6380143,-1.6457157,-1.953876
1481,-1.0683942,-0.913352,-1.1630707
1500,1.4040723,-1.3706098,0.31317186
1520,0.7877569,-0.6477754,1.68684
1540,0.6983719,-1.8999941,1.1506555
1561,-2.0475473,-0.9387047,-0.107283115
1580,-1.4102983,-0.20745778,-1.468792
1601,0.6960163,-0.16888809,-1.5573142
1620,-0.4584875,-0.0067430735,-1.7063116
1640,-0.046624184,-0.5200963,0.08540353
1661,0.52796936,-0.22029287,0.0355507
1680,1.8346786,0.45330828,-0.674634
1700,1.1240883,0.8753329,-2.0836132
1721,0.43506718,0.27587876,-3.5161557
1740,0.29967976,-0.043774396,-3.6993303
1760,-0.80373096,-0.11649661,-3.154551
1781,-2.252677,-0.66937125,-1.8359029
1800,-1.1004419,-0.98861593,-2.361302
1820,1.759079,-0.99085754,-2.003962
1841,0.6898689,-1.3365259,-3.8364966
1860,0.6333618,-1.4167602,-5.209405
1880,2.0258722,-1.8556708,-3.2344437
1901,3.9634933,-1.9256771,-1.0008054
1920,6.028466,-2.471148,0.762856
1940,6.655716,-2.2536724,1.5564802
1961,5.270756,-1.6893648,0.02657628
1980,3.8768978,-1.1627744,-2.0451958
2000,2.4146032,-1.2198651,-1.6008773
2021,0.84893894,-0.87626266,0.5464251
2040,-0.221838,-0.87522787,1.4625525
2061,-1.994051,-0.38552213,1.4372702
2080,-4.2099466,-0.39479983,1.0642154
2100,-4.7119694,-0.16528714,1.6158159
2121,-4.525587,0.3643812,0.15301037
2140,-4.5905514,0.33851182,-0.73883224
2160,-4.064822,-0.113631845,-1.161936
2181,-2.4230566,-0.7302507,-0.19801664
2200,-0.81713676,-0.7824764,0.17480087
2220,1.0772562,-0.7325473,-1.0678194
2240,2.5035973,-0.8161529,-3.8734193
2261,2.1615238,-0.8130426,-3.7538238
2280,1.7451878,-0.7081461,-2.8611321
2300,0.72310257,-1.189215,-0.654397
2320,0.5341158,-0.86658263,0.6573098
2341,0.71031,-0.9343326,0.2901647
2360,-0.8596554,-0.4647758,-2.3264585
2380,-0.9958315,0.22143918,-1.1506402
2401,-0.84159184,-0.11442143,-0.55548763
2420,-0.42626286,1.0445077,-0.58445334
2440,1.416503,1.2189469,1.4794385
2461,2.1135836,0.25942624,3.5417678
2480,1.4290562,0.15776917,0.45186973
2500,-1.8237867,-0.5865773,-2.0368743
2520,-2.4624052,-0.9983254,-0.15976477
2540,-1.3712339,-0.81748444,-0.07824135
2560,0.44079018,1.2418841,-0.12928772
2580,0.37574673,-0.3814035,-2.532961
2601,-1.1851645,-0.045376778,-1.6288404
2620,-1.6401291,0.29071248,-0.15972996
2641,-1.8337927,0.22848105,-0.3277886
2660,-2.1137505,-0.68858683,-0.8448074
2680,1.5964003,-1.2765538,1.1931758
2701,1.5291233,-0.041196108,1.4056239
2720,0.41300964,-0.4885099,-0.26086116
2740,1.250906,0.29714394,3.0480547
2761,-1.3123913,0.5141375,0.42586136
2780,-1.468596,0.8438859,-2.4817624
2801,-0.07538462,0.11308527,-1.0246148
2820,-1.7173247,0.42713118,-0.7042508
2841,-1.2429705,-1.0015397,-0.29500103
2860,-0.12032509,-1.8571801,-2.1011095
2881,-0.015175819,-3.569078,0.37442827
2900,1.3353362,-3.9191961,0.40934563
2920,1.6540618,-3.469715,-2.6808367
2941,0.5616894,-3.7654533,-1.3316193
2960,0.7831688,-3.7166042,-2.1608295
2980,2.8325858,-3.7721,-2.3744125
3000,-3.5823092,6.6366944,5.3408756
3021,-0.8879514,1.4153047,-2.9465623
3040,0.03839922,-2.4769187,-0.7338433
3060,0.014725685,-3.339222,-0.159616
3081,-1.235765,-0.10293198,0.73900795
3100,-0.3290944,-0.15934896,-1.2030559
3120,-0.011202335,-0.07846832,0.21701002
3140,-0.11616421,-0.39793253,0.47030115
3160,0.082853794,1.7087526,-1.7356167
3180,1.1009865,1.2810612,-0.8002696
3200,-0.27446318,0.6920152,-0.6859541
3221,-0.5225711,-0.60306406,0.692214
3240,-1.3299947,0.46739006,0.35136747
3261,-1.2606001,1.9699359,0.366302
3280,0.5925746,4.5913515,-2.4148402
3300,0.6990886,2.526363,-0.89402103
3321,-0.12881756,-3.589047,1.4436817
3340,2.7962618,-3.447082,-2.6287231
3360,1.3221664,-3.0218716,-1.6522055
3381,-0.50727844,-1.3169918,-0.5625806
3400,-0.7081733,-1.281899,-0.65713406
3420,-0.6603117,-0.31394005,-0.38520098
3441,-1.0011239,-0.12510777,0.0955224
3460,-0.36202765,-1.7069855,-0.5830498
3480,1.3197169,-2.0728645,-0.94171476
3501,0.47594833,-1.2595572,0.5533433
3520,-0.2545042,-1.5075312,-0.9776106
3540,-0.43988705,-1.082408,-0.8246598
3561,-0.26625395,-0.46035957,0.46397495
3580,-0.98599195,-0.17911148,-0.47479582
3600,0.20387363,1.6996746,-0.71641874
3621,-0.065223694,1.2215762,-0.1465106
3640,0.31467962,0.117005825,-0.49887514
3660,0.06424427,-0.66531515,0.10046148
3681,0.5331192,0.40317297,-0.22978544
3700,0.6521435,0.22426558,0.1977439
3720,0.38312435,-0.7352543,-0.20183516
3740,-0.24583101,-0.47209787,-0.008938789
3763,-0.66132355,-1.4140897,0.9189396
3781,-0.1174283,-2.4370933,9.803259
3800,0.34199,-0.8716321,-5.802761
3820,-1.2011533,-2.9361315,-7.3687606
3840,0.6894183,-1.9290109,0.7792692
3861,-3.201871,3.0861526,-1.9926958
3880,-2.1684852,4.2852664,-0.45543718
3900,0.3642707,-0.017148972,-0.68939924
3920,0.5258937,-1.3444734,-0.054507732
3941,0.02034235,0.47165966,-0.9928374
3960,-0.6419163,0.3367958,-1.4144664
3980,-0.19085598,1.3043947,-0.18826723
4001,-0.44462776,0.7456703,0.31713104
4020,0.85920763,0.14110279,-0.25364637
