Milliseconds,X,Y,Z,cos,headingAccuracy
2,0.21292125,-0.11495452,-0.41702121,0.8760955,0.17453292
21,0.21175803,-0.11654425,-0.41716427,0.8760993,0.17453292
41,0.20910165,-0.11586281,-0.41759264,0.87662345,0.17453292
62,0.20653975,-0.11425854,-0.4182018,0.87715083,0.17453292
81,0.20406432,-0.11332523,-0.41884208,0.8775457,0.17453292
101,0.20197308,-0.113878146,-0.4194274,0.87767833,0.17453292
121,0.20084444,-0.11530029,-0.41939056,0.8777693,0.17453292
142,0.20078339,-0.1171059,-0.41882426,0.8778146,0.17453292
161,0.20117967,-0.117912635,-0.4186029,0.8777214,0.17453292
181,0.20238635,-0.117950104,-0.41809925,0.87767905,0.17453292
202,0.2036626,-0.117906556,-0.41734245,0.87774986,0.17453292
221,0.20477834,-0.11847356,-0.41684335,0.8776511,0.17453292
241,0.20680217,-0.12004609,-0.41568524,0.87751216,0.17453292
262,0.20770639,-0.12092445,-0.41525728,0.8773806,0.17453292
281,0.20822066,-0.12240358,-0.41475573,0.87729084,0.17453292
301,0.20903288,-0.123499334,-0.4140527,0.8772762,0.17453292
322,0.21003608,-0.124266095,-0.41332424,0.87727183,0.17453292
341,0.21036853,-0.12469187,-0.4129205,0.8773219,0.17453292
361,0.20997445,-0.124683976,-0.41275883,0.87749344,0.17453292
381,0.21011938,-0.12589568,-0.4128441,0.8772456,0.17453292
401,0.210894,-0.12944613,-0.4132907,0.8763322,0.17453292
422,0.21146058,-0.13279092,-0.41369236,0.8755053,0.17453292
441,0.21223716,-0.13507208,-0.41362116,0.87500197,0.17453292
461,0.21158364,-0.13484623,-0.4129527,0.8755107,0.17453292
481,0.21000932,-0.1327273,-0.41224563,0.87654614,0.17453292
502,0.20866893,-0.13103591,-0.4120108,0.8772309,0.17453292
521,0.20867236,-0.13194746,-0.4125217,0.8768532,0.17453292
541,0.2112464,-0.13738036,-0.41376674,0.8748135,0.17453292
567,0.21515486,-0.14360385,-0.4146953,0.8724185,0.17453292
581,0.21836472,-0.14876573,-0.41531998,0.87045676,0.17453292
601,0.21964952,-0.15145202,-0.41528293,0.86968756,0.17453292
622,0.21905003,-0.1509504,-0.4149275,0.8700955,0.17453292
641,0.21751498,-0.14832795,-0.41437295,0.8711952,0.17453292
661,0.21605663,-0.14530674,-0.41358787,0.87243944,0.17453292
681,0.21534972,-0.14251478,-0.41234767,0.8736609,0.17453292
701,0.215209,-0.1411161,-0.4114363,0.87435204,0.17453292
722,0.21491145,-0.14095756,-0.410357,0.8749578,0.17453292
741,0.21454874,-0.1409631,-0.4098243,0.8752955,0.17453292
762,0.21390551,-0.13987952,-0.40945306,0.8758004,0.17453292
781,0.21344033,-0.13844833,-0.4086756,0.8765041,0.17453292
803,0.21350399,-0.13814297,-0.4082227,0.87674785,0.17453292
821,0.21462487,-0.13848718,-0.4071486,0.8769193,0.17453292
842,0.21508066,-0.13906276,-0.4063381,0.8770925,0.17453292
861,0.21498536,-0.13872369,-0.4058633,0.8773893,0.17453292
882,0.21443619,-0.13694477,-0.40558448,0.87793195,0.17453292
901,0.21382919,-0.13421504,-0.40518248,0.87868685,0.17453292
922,0.21320407,-0.13325158,-0.40481693,0.8791537,0.17453292
