Milliseconds,X,Y,Z
4,-0.03326416,-0.12664795,-0.011001587
23,-0.09397888,-0.110672,0.011367798
42,-0.10783386,0.020355225,-0.0024871826
63,-0.06628418,0.045913696,-0.06213379
82,-0.055633545,0.041656494,-0.09303284
102,-0.02154541,0.017150879,-0.088760376
122,0.021057129,-0.0116119385,-0.05999756
142,0.041305542,1.0681152E-4,-0.036575317
163,0.008285522,-0.005218506,-0.028045654
182,-0.032196045,0.0118255615,-0.013137817
202,-0.016220093,-0.023330688,0.043319702
222,-0.00982666,-0.054214478,0.06782532
244,-0.011962891,-0.029708862,0.07102966
262,0.009353638,-0.033981323,0.08807373
282,0.010406494,-0.06274414,0.09552002
303,-0.037521362,0.043792725,0.07847595
322,-0.09397888,0.12580872,0.01776123
342,-0.10676575,0.17907715,0.008178711
363,-0.02368164,0.14605713,0.02734375
382,0.08818054,0.05444336,0.025222778
402,0.09030151,0.006500244,0.009231567
422,-0.010894775,0.06616211,0.0028533936
442,-0.065216064,0.049118042,-0.016326904
463,-0.01940918,-0.041427612,-0.022720337
483,0.020004272,-0.053146362,-0.011001587
502,0.012542725,0.0043792725,0.04119873
522,0.01361084,0.055511475,0.05291748
544,-0.0023651123,0.05444336,0.0071105957
562,-0.07588196,0.05656433,-0.04083252
583,-0.12594604,0.04272461,-0.057876587
602,-0.07374573,0.006500244,-0.055740356
622,0.01361084,1.0681152E-4,-0.05467224
644,0.059417725,0.048049927,-0.053619385
662,0.03916931,0.032073975,-0.074920654
682,-0.069488525,-0.006286621,-0.11647034
702,-0.1461792,0.0011749268,-0.11112976
723,-0.1461792,-0.010543823,-0.058944702
742,-0.13233948,-0.0116119385,-0.020584106
763,-0.13446045,0.0075683594,-0.024856567
782,-0.112091064,-0.0073394775,-0.037628174
803,-0.10144043,-0.03504944,-0.04083252
822,-0.05670166,-0.055282593,-0.012069702
843,-0.02154541,-0.06913757,0.019897461
862,0.031723022,-0.029708862,0.014572144
882,0.09030151,0.013961792,-0.024856567
903,0.11906433,-0.0073394775,-0.09408569
922,0.14570618,-0.043563843,-0.1409607
942,0.28738403,-0.018005371,-0.2432251
962,0.36514282,-0.07872009,-0.3135376
983,0.42266846,-0.1852417,-0.36573792
1002,0.5579529,-0.65289307,-0.5862427
1022,0.7113495,-1.1397247,-0.72366333
1042,0.7539673,-1.3357239,-0.63630676
1063,0.7113495,-0.8180084,-0.54896545
1082,0.51641846,-0.44943237,-0.73431396
1102,0.23518372,-0.5996399,-1.0123444
1123,-0.26548767,-0.5527649,-1.0443115
1142,-0.9398041,-0.8393097,-0.9217987
1162,-1.7376862,-1.4624939,-0.7407074
1182,-2.690033,-1.8097687,-0.40515137
1202,-3.583786,-2.2358856,0.0028533936
1222,-4.44133,-2.7663727,0.2893982
1243,-5.1486664,-3.5855713,0.7346802
1262,-5.465042,-4.681732,1.2769012
1282,-4.76091,-4.661484,2.3528137
1302,-2.899887,-2.911255,3.1389923
1322,-1.6652527,-3.2372284,3.5416565
1342,-1.3435364,-4.3259277,3.8985138
1363,-1.098526,-4.5815887,4.072159
1382,-0.78959656,-3.785843,3.7291412
1402,-0.31556702,-2.9943542,3.455368
1422,0.055145264,-3.167984,3.3807983
1442,0.10522461,-3.961609,3.3339233
1463,0.5536957,-3.9573517,2.7160797
1482,1.6924591,-3.5450897,2.132309
1502,2.5595856,-3.4598694,1.5922241
1523,3.0187225,-4.041504,1.401535
1542,3.4490814,-4.2449646,0.94241333
1562,3.7516174,-5.8865356,0.44599915
1582,4.732727,-6.7248993,0.95732117
1603,6.101593,-4.518738,3.8718872
1622,5.0416565,-2.2689056,2.706482
1643,2.5915527,-1.4092407,0.098724365
1662,1.991806,-0.07872009,0.411911
1683,1.6786194,-0.33119202,-0.50527954
1702,2.2751617,-1.1035004,-0.97932434
1722,2.8269653,-1.0076294,-1.0975647
1742,1.6413269,-0.08830261,-1.4437866
1763,0.941452,0.35377502,-1.2871857
1782,0.7731476,0.4933319,-1.147644
1802,0.68685913,0.18547058,-1.3351288
1823,0.638916,-0.021194458,-1.2349854
1842,0.42266846,0.20463562,-1.1156769
1862,0.17126465,0.3164978,-1.0975647
1883,0.25222778,0.18121338,-0.97613525
1902,0.59950256,-0.37805176,-0.98464966
1922,0.77101135,-0.60069275,-0.7364502
1943,0.52279663,-0.7146759,-0.42965698
1962,-0.010894775,-0.86701965,-0.26454163
1982,-0.25376892,-0.6784668,-0.50315857
2003,-0.2761383,-0.53678894,-1.0347137
2022,-0.37734985,-0.6635437,-1.2424469
2042,-0.3144989,-0.4920349,-1.1785278
2063,-0.397583,-0.5154724,-0.9910431
2082,-0.5222168,-1.1620941,-0.9388428
2102,-0.71183777,-0.87553406,-0.83657837
2123,-1.0292816,-0.04675293,-0.78012085
2142,-1.1752319,0.5114441,-0.6608124
2162,-0.9121094,0.62542725,-0.35188293
2183,-0.28359985,-0.4078827,-0.55322266
2202,0.22346497,-1.3794098,-0.4935608
