Milliseconds,Degrees
2,0.0
101,0.0
200,0.0
300,0.0
401,0.0
500,0.0
600,0.0
701,0.0
800,0.0
900,0.0
1001,0.0
1100,0.0
1200,0.0
1301,0.0
1400,0.0
1500,0.0
1600,0.0
1701,0.0
1800,0.0
1900,0.0
2001,0.0
2100,0.0
2200,0.0
2301,0.0
2400,0.0
2500,0.0
2601,0.0
2700,0.0
2800,0.0
2901,0.0
3000,0.0
3100,0.0
3201,0.0
3300,0.0
3401,0.0
3501,0.0
3600,0.0
3701,0.0
3800,0.0
3900,0.0
4000,0.0
4100,0.0
4201,0.0
4301,0.0
4400,0.0
4501,0.0
4600,0.0
4700,0.0
4801,0.0
4900,0.0
5001,0.0
5100,0.0
5200,0.0
5300,0.0
5400,0.0
5500,0.0
5601,0.0
5700,0.0
5800,0.0
5901,0.0
6000,0.0
6100,0.0
6201,0.0
6300,0.0
6400,0.0
6501,0.0
6600,0.0
6701,0.0
6800,0.0
6901,0.0
7000,0.0
7100,0.0
7201,0.0
7300,0.0
7400,0.0
7501,0.0
7600,0.0
7700,0.0
7800,0.0
7901,0.0
8000,0.0
8101,0.0
8200,0.0
8300,0.0
8401,0.0
8500,0.0
8600,0.0
8701,0.0
8800,0.0
8900,0.0
9001,0.0
9100,0.0
9201,0.0
9300,0.0
9400,0.0
9501,0.0
9600,0.0
9700,0.0
9801,0.0
9900,0.0
10001,0.0
10101,0.0
10200,0.0
10300,0.0
10401,0.0
10500,0.0
10601,0.0
10700,0.0
10801,0.0
10900,0.0
11000,0.0
11101,0.0
11200,0.0
11300,0.0
11400,0.0
11500,0.0
11601,0.0
11700,0.0
11801,0.0
11900,0.0
12000,0.0
12101,0.0
12200,0.0
12300,0.0
12401,0.0
12500,0.0
12601,0.0
12700,0.0
12800,0.0
12901,0.0
13000,0.0
13100,0.0
13201,0.0
13300,0.0
13401,0.0
13500,0.0
13601,0.0
13700,0.0
13800,0.0
13900,0.0
14000,0.0
14100,0.0
14201,0.0
14300,0.0
14401,0.0
14500,0.0
14600,0.0
14701,0.0
14800,0.0
14900,0.0
15001,0.0
15100,0.0
15201,0.0
15300,0.0
15400,0.0
15500,0.0
15600,0.0
15700,0.0
15800,0.0
15900,0.0
16000,0.0
16101,0.0
16200,0.0
16300,0.0
16401,0.0
16500,0.0
16600,0.0
16701,0.0
16800,0.0
16900,0.0
17000,0.0
17100,0.0
17200,0.0
17300,0.0
17400,0.0
17500,0.0
17601,0.0
17700,0.0
17801,0.0
17900,0.0
18000,0.0
18101,0.0
18200,0.0
18301,0.0
18400,0.0
18500,0.0
18601,0.0
18700,0.0
18800,0.0
18901,0.0
19000,0.0
19101,0.0
19200,0.0
19301,0.0
19400,0.0
19500,0.0
19601,0.0
19700,0.0
19801,0.0
19900,0.0
20000,0.0
20100,0.0
20200,0.0
20300,0.0
20400,0.0
20501,0.0
20600,0.0
20700,0.0
20801,0.0
20900,0.0
21000,0.0
21101,0.0
21200,0.0
21300,0.0
21400,0.0
21501,0.0
21600,0.0
21700,0.0
21801,0.0
21900,0.0
22000,0.0
22100,0.0
22200,0.0
22300,0.0
22400,0.0
22500,0.0
22600,0.0
22700,0.0
22801,0.0
22900,0.0
23000,0.0
23101,0.0
23200,0.0
23300,0.0
23401,0.0
23500,0.0
23600,0.0
23700,0.0
23801,0.0
23900,0.0
24001,0.0
24101,0.0
24201,0.0
24300,0.0
24400,0.0
24501,0.0
24600,0.0
24701,0.0
24800,0.0
