Milliseconds,X,Y,Z
1,-1.523787,8.222131,5.122989
21,-1.499089,8.203913,5.1593537
42,-1.497219,8.186747,5.187091
61,-1.4982152,8.172359,5.2094417
81,-1.5003604,8.164313,5.221426
101,-1.5039645,8.160599,5.226195
122,-1.5109583,8.156066,5.2312512
143,-1.5199119,8.148835,5.2399187
161,-1.5329198,8.140953,5.2483745
181,-1.5508305,8.132996,5.255445
201,-1.5643076,8.124764,5.2641754
222,-1.5712852,8.11799,5.2725415
241,-1.5724888,8.113229,5.279507
261,-1.5678157,8.10931,5.2869096
282,-1.5619843,8.106451,5.2930183
301,-1.5580708,8.105322,5.2959
321,-1.5499074,8.107326,5.295229
341,-1.5375654,8.109225,5.295918
362,-1.5293798,8.105934,5.30332
381,-1.5332854,8.100551,5.310413
401,-1.5390905,8.100787,5.3083744
422,-1.5416672,8.106586,5.2987647
441,-1.5458875,8.106316,5.297948
461,-1.5549778,8.098387,5.307408
481,-1.5617862,8.086538,5.323449
502,-1.564212,8.073187,5.3429656
521,-1.5629804,8.065759,5.354533
541,-1.5595763,8.0648575,5.356881
561,-1.5602633,8.065271,5.3560586
582,-1.5632277,8.064268,5.356705
601,-1.5703787,8.059353,5.362007
621,-1.5775311,8.0492115,5.375126
642,-1.5835036,8.033571,5.3967247
661,-1.5921298,8.018455,5.416631
681,-1.6017524,8.010141,5.4260855
701,-1.6095239,8.005697,5.430344
722,-1.6169146,8.001161,5.434832
741,-1.616684,7.996618,5.4415827
761,-1.6219575,7.9884257,5.4520354
781,-1.6388917,7.9795775,5.4599233
802,-1.6647317,7.9642124,5.474521
821,-1.6806345,7.9531436,5.485742
841,-1.7156761,7.9455466,5.4859037
864,-1.7433242,7.9387016,5.4870963
881,-1.7496182,7.932951,5.4934063
902,-1.754862,7.9248366,5.503437
921,-1.7625458,7.9198427,5.508167
941,-1.7685136,7.910313,5.5199366
961,-1.7751596,7.90332,5.5278144
982,-1.7779047,7.899607,5.5322385
1001,-1.7849753,7.899083,5.5307083
1021,-1.7918298,7.8938546,5.535955
1041,-1.8029789,7.8829956,5.5477943
1061,-1.8155468,7.869125,5.5633683
1082,-1.8332578,7.85852,5.5725403
1101,-1.8553704,7.853829,5.571837
1121,-1.8721404,7.85592,5.5632725
