Timestamp,Milliseconds,X,Y,Z
2018-09-11 16:55:13,2,0.29018915,3.4046147,9.192104
2018-09-11 16:55:13,21,0.30666628,3.385409,9.19866
2018-09-11 16:55:13,42,0.3346637,3.3896308,9.196129
2018-09-11 16:55:13,61,0.36456302,3.414642,9.185734
2018-09-11 16:55:13,81,0.45942378,3.491737,9.152436
2018-09-11 16:55:13,102,0.5750681,3.5653822,9.117441
2018-09-11 16:55:13,121,0.6799705,3.6031704,9.09534
2018-09-11 16:55:13,142,0.86885154,3.6234665,9.071162
2018-09-11 16:55:13,161,1.0343134,3.6116219,9.058519
2018-09-11 16:55:13,182,1.0970604,3.6271267,9.044931
2018-09-11 16:55:13,201,1.1114441,3.688648,9.018257
2018-09-11 16:55:13,221,1.1614033,3.7872212,8.970981
2018-09-11 16:55:13,241,1.2238607,3.9108095,8.90944
2018-09-11 16:55:13,262,1.23524,4.0272884,8.855818
2018-09-11 16:55:13,281,1.2487723,4.1122923,8.814761
2018-09-11 16:55:13,301,1.2568939,4.164994,8.788824
2018-09-11 16:55:13,322,1.2504021,4.209309,8.768615
2018-09-11 16:55:13,341,1.2454556,4.2591305,8.74523
2018-09-11 16:55:13,361,1.2881083,4.334542,8.701891
2018-09-11 16:55:13,382,1.3913423,4.4581356,8.6232
2018-09-11 16:55:13,401,1.5984844,4.6658187,8.476165
2018-09-11 16:55:13,421,1.9699152,4.9283576,8.246279
2018-09-11 16:55:13,442,2.5162292,5.175158,7.9408264
2018-09-11 16:55:13,461,3.140206,5.3362207,7.6048837
2018-09-11 16:55:13,481,3.7930512,5.368928,7.277209
2018-09-11 16:55:13,502,4.530605,5.324072,6.877374
2018-09-11 16:55:13,521,5.322649,5.29659,6.307609
2018-09-11 16:55:13,541,6.105453,5.3385024,5.513096
2018-09-11 16:55:13,561,6.8116584,5.270774,4.689417
2018-09-11 16:55:13,581,7.3949533,5.0306215,4.0221763
2018-09-11 16:55:13,602,7.956819,4.5602913,3.4732056
2018-09-11 16:55:13,621,8.47791,3.95917,2.9360528
2018-09-11 16:55:13,641,8.9398,3.3070216,2.3052022
2018-09-11 16:55:13,662,9.333041,2.5609336,1.5831468
2018-09-11 16:55:13,681,9.619961,1.6910108,0.8759108
2018-09-11 16:55:13,701,9.771824,0.7824724,0.26378998
2018-09-11 16:55:13,722,9.802541,-0.14687735,-0.24290322
2018-09-11 16:55:13,741,9.720236,-1.049477,-0.7655063
2018-09-11 16:55:13,761,9.533542,-1.8446152,-1.3709003
2018-09-11 16:55:14,782,9.159134,-2.7224371,-2.2065775
2018-09-11 16:55:14,801,8.880138,-3.2359571,-2.6157439
2018-09-11 16:55:14,822,8.530935,-3.8879156,-2.8770866
2018-09-11 16:55:14,841,8.251943,-4.4398937,-2.8919141
2018-09-11 16:55:14,861,8.053641,-4.8540726,-2.7833846
2018-09-11 16:55:14,882,7.8873253,-5.173185,-2.6830294
2018-09-11 16:55:14,901,7.8313994,-5.2439513,-2.7093449
2018-09-11 16:55:14,921,7.8240504,-5.20254,-2.8085964
2018-09-11 16:55:14,941,7.8900886,-4.9582443,-3.0549486
2018-09-11 16:55:14,962,8.020873,-4.555834,-3.328718
2018-09-11 16:55:14,982,8.181746,-4.12864,-3.4905245
2018-09-11 16:55:14,1001,8.599408,-3.2499812,-3.414409
2018-09-11 16:55:14,1022,8.890048,-2.5366077,-3.2715554
2018-09-11 16:55:14,1041,9.054876,-1.9711158,-3.2084742
2018-09-11 16:55:14,1061,9.036644,-1.5590627,-3.4754522
2018-09-11 16:55:14,1082,8.819448,-1.1463904,-4.132009
2018-09-11 16:55:14,1101,8.566004,-0.7383061,-4.71687
2018-09-11 16:55:14,1121,8.462222,-0.43950546,-4.9363985
2018-09-11 16:55:14,1142,8.498991,0.15336017,-4.890196
2018-09-11 16:55:14,1161,8.624929,0.6754275,-4.6178756
