Milliseconds,X,Y,Z
5,-0.25587463,3.4186401,8.815155
23,-0.37678528,3.272583,8.908524
43,-0.38755798,3.3647614,9.298782
64,-0.31333923,3.3611755,9.18985
83,-0.3803711,3.3743439,8.847473
104,-0.6569061,3.4282074,8.865433
123,-0.6174011,3.478485,9.454407
143,-0.41508484,3.571869,9.517853
163,0.4659729,3.2067413,8.600876
184,0.29359436,3.063095,10.559326
203,0.23493958,4.458908,9.199417
223,0.21458435,4.8431854,9.999084
244,0.34028625,3.8328247,9.768036
263,-1.6923981,3.643692,7.2756805
283,-3.447342,4.74263,5.2310333
304,-1.3177032,3.8890991,8.695435
323,-0.27262878,4.139282,9.203003
343,-0.253479,3.8819122,8.846268
363,-1.1010284,4.098587,9.295181
384,-0.89512634,3.9226074,9.001892
403,-1.0148315,4.1835785,7.9316864
423,-1.0579376,3.8424072,7.5569916
444,-1.2758026,3.964508,7.8993683
463,-1.7857666,4.9185944,8.287231
483,-1.1680603,4.715088,8.626007
504,-0.55874634,4.196747,8.987534
523,-0.43304443,4.330826,8.61882
544,-0.47373962,4.3811035,7.4696045
563,-0.8604126,4.4601135,7.80719
583,-1.0986328,4.7126923,8.168716
604,-0.63775635,4.591797,9.083298
623,-0.5599365,4.513977,9.621994
644,0.10206604,4.3415985,9.285614
663,-1.8001404,4.502014,8.769653
683,-0.7407074,6.114502,6.4700317
703,-0.28819275,5.4142,6.064209
724,-1.3464355,5.220276,8.523056
743,1.2476807,3.8974762,10.475525
764,5.0520782,2.7063599,8.259689
784,5.4411316,3.4557495,5.7266235
803,1.7779999,5.181961,4.218277
823,1.6858215,4.8276215,4.9437256
845,2.260437,4.8982544,7.4181366
863,2.5956268,4.895859,8.518265
884,2.462738,5.020355,9.256882
903,2.2939453,4.541519,10.024216
923,1.8031464,4.2458344,10.4934845
944,1.9611511,3.8807068,10.343842
963,2.177826,3.600586,9.673477
984,1.9479828,3.446167,8.20343
1003,1.608017,3.3575745,7.049423
1024,2.0964355,3.1049957,7.6072693
1043,2.3430328,2.9852753,7.692276
1064,2.0617065,2.881134,7.1344147
1083,1.652298,3.0403442,7.23378
1104,1.6941986,2.8847198,7.1691437
1123,1.7037811,3.106186,6.886627
1144,1.4571838,3.145691,7.3858185
1163,1.166275,2.8978882,8.289627
1183,1.0896606,2.5112305,8.178299
1204,0.87060547,1.9246521,7.1380157
1223,0.5605469,1.6433258,7.3079987
1244,0.44563293,0.9741516,7.6024933
1263,1.687027,0.78022766,9.654312
1283,2.723709,1.0699158,8.129211
1304,3.908844,0.84246826,7.791626
1323,3.7580109,0.8041687,8.673889
1343,3.647873,0.9047241,10.018234
1364,3.9076385,1.6660767,11.910858
1383,4.751602,1.5727081,12.07605
1404,5.802658,0.5599518,9.951202
1423,6.3652954,0.045196533,5.9672394
1443,7.612671,0.753891,4.850357
