Milliseconds,X,Y,Z
2,0.29958946,-0.0362401,-0.2577114
21,0.13833934,-0.1879456,-0.16225529
42,0.104340464,-0.095289946,0.22632027
61,0.18599874,-0.11909604,0.124801636
81,0.1711849,-0.14883208,-0.1973648
102,-0.0025101304,-0.14724374,-0.09813404
121,0.074528575,-0.13879418,0.45739555
141,0.51331,-0.3149209,0.35641384
162,1.315599,-0.4364562,-0.48550034
181,1.248389,-0.77733374,1.6775274
201,1.2403939,0.581537,0.33905125
223,1.2554859,0.910753,1.1625366
241,1.400638,-0.20814514,0.9776001
261,-1.497366,-0.47604465,-2.7555218
282,-2.0729952,0.6880393,-2.854354
301,-0.0322572,-0.34012985,0.050639153
321,1.1139084,-0.07546997,0.56543064
341,0.7444663,-0.12925053,0.40092754
361,0.1892314,-0.119330406,0.642231
381,0.25332248,-0.34995747,0.35447598
402,-0.020242393,-0.16011333,-0.69713116
421,-0.15436137,-0.5615444,-1.0455112
441,-0.4138323,-0.47665977,-0.68204594
461,-0.98017204,0.44502544,-0.2817297
482,-0.4817049,0.20812511,0.06306362
501,-0.030166626,-0.340168,0.4282112
521,-0.059365362,-0.239542,0.06839466
541,-0.19027281,-0.21871471,-1.0638342
561,-0.57408774,-0.14631414,-0.71805286
582,-0.7899656,0.122998714,-0.36219025
601,-0.3232637,0.026238441,0.53816795
624,-0.27196297,-0.054555893,1.0729504
641,0.31761026,-0.27429008,0.756176
664,-1.6913579,-0.21070194,0.28997707
681,-0.78078806,1.2907038,-1.9421959
701,-0.48700553,0.5250673,-2.2965956
722,-1.7898111,0.32374668,0.17832375
741,0.3446235,-0.9834266,2.1539888
762,3.5073285,-2.1889915,0.03950119
782,3.3503478,-1.5102077,-2.3191996
801,-0.61627364,0.12978697,-3.671938
821,-0.8764703,-0.19659758,-2.892436
842,-0.360888,0.004480362,-0.4729023
861,-0.020977259,0.17033577,0.522315
882,-0.04482436,0.40542078,1.3713017
901,-0.27134156,0.1465187,1.811841
922,-0.6610341,-0.13570118,2.2240448
941,-0.5363574,-0.29887915,1.9803352
962,-0.24739432,-0.5305681,1.2586536
981,-0.3591156,-0.6630268,-0.255229
1001,-0.47039628,-0.77268744,-1.3854017
1022,0.029922724,-0.92395496,-0.9361372
1041,0.2652712,-0.9829817,-0.87068367
1061,-0.2664597,-0.9917431,-1.5744133
1082,-0.46721005,-0.8546889,-1.2583313
1101,-0.56712484,-0.86234665,-1.4189806
1121,-0.5041859,-0.5427654,-1.6337528
1142,-0.9274957,-0.3507328,-1.1076298
1161,-1.2485201,-0.54259205,-0.33891678
1181,-1.4674685,-0.7529309,-0.69606876
1201,-1.7660725,-1.1930065,-1.5512428
1222,-2.384133,-1.365834,-1.3232269
1241,-2.6016695,-1.8558099,-1.0256348
1261,-1.6950684,-1.8813252,1.0993319
1281,-1.0944457,-1.4450562,-0.28048038
1302,-0.41442347,-1.483911,-0.42007828
1321,-1.0505924,-1.2844014,0.6739378
1341,-1.6103058,-0.9239938,2.2385798
1362,-1.8671107,0.09007764,4.4375887
1381,-1.6867447,0.23888683,5.097299
1401,-1.3332648,-0.5400845,3.6274686
1421,-1.335823,-0.83551157,0.30925655
1442,-0.45857906,0.106512666,-0.2928481
1461,1.3724232,0.95189977,0.29424143
1481,2.6891785,1.2358807,1.0747037
1502,2.378047,1.0093756,0.4112544
1521,2.0463657,1.3309832,-0.96854925
1541,2.6291742,6.467372,-6.698329
1562,4.14592,3.4512558,-6.5676603
1581,2.4934473,2.1802342,-2.076534
1602,0.2977352,1.6262705,1.7501638
1621,1.0068264,-0.54890066,4.1669607
1641,0.80018806,-0.7496244,2.6500876
1662,-0.7965164,-0.6679779,-0.6754203
1681,-2.1399841,-0.54367846,-2.7252843
1701,-1.539074,-1.3985581,-2.9915426
1722,-0.6185789,-1.3351998,-2.3156533
1741,-1.0521574,-1.4078767,-0.14959574
1762,-2.1698017,-1.2189286,3.8932688
1781,-1.1673088,-0.8916395,4.289318
1801,-1.8771963,0.30396056,2.171009
1821,-1.7689095,1.6246874,0.09093261
1842,0.09710407,1.6062406,0.86873627
1861,0.5812464,1.7734549,0.75357056
1881,1.0614176,1.8615053,-0.88227415
1902,-0.4908476,2.1962242,-2.216076
1921,-2.3973246,2.4153838,-3.358099
1941,-3.4970503,1.5011148,-2.8884294
1961,-2.0652924,0.17494774,0.19650412
1981,3.2844667,-2.7697914,1.0956624
2001,2.9799232,-1.6976054,-1.3825662
2021,3.3986826,-3.25494,-3.41996
2042,0.65367794,-0.8445637,0.37874222
2061,-1.6384888,-0.52318025,0.5155641
2081,2.4152756,-3.3802648,0.2841437
2101,3.4445114,-1.8946214,1.6951017
2122,2.0277653,-3.004108,0.15054703
2141,0.7857771,-2.9149804,-2.57618
2161,-1.9373703,-2.3056078,-0.7905032
2181,-6.737679,1.1006894,-6.830518
2202,1.204802,0.26691055,1.2800939
2221,0.09887171,1.8190804,-0.7963951
2241,0.1579628,1.570375,-1.1777215
2262,0.6807852,1.5986195,0.42706895
2281,0.43496132,1.5617113,0.32992887
2301,-0.7886152,2.4191551,0.62996495
2321,0.12518167,11.348312,6.2469125
2341,-3.953837,5.8574524,-3.5804522
2362,1.5030904,-0.22722912,2.7545042
2381,2.9263144,-1.4425368,4.681383
2401,0.31177807,-3.9168954,2.9120572
2422,-4.763273,-6.1151676,-10.358482
2441,-7.04513,-1.1218681,-13.785147
2461,-2.677806,0.7829609,-8.797231
2481,2.0852432,1.3867292,-3.7672355
2502,4.127824,0.7841277,0.29570723
2521,1.4970369,0.9731965,8.951746
2541,-0.65917397,-1.7488823,9.38184
2561,1.4866996,-4.108066,0.832724
2581,1.4503207,-3.1950817,-3.4897487
2602,-1.0867376,-2.8368154,0.45948774
2621,-0.8772683,-3.2580576,4.255386
2641,0.20090008,-3.0517678,-2.135765
2661,-1.3151917,-1.3239675,-0.16381925
2682,1.400497,-2.3475475,0.6705767
2701,0.46202707,-0.28788424,-0.66178346
2721,-1.0450864,-0.6369877,-0.19997048
2741,-1.7847605,-0.020561218,0.91813314
2762,-0.8658266,-0.8065567,-1.6506023
2781,-0.0028839111,-1.1351109,-1.633158
2801,1.802135,-1.0231972,-0.7175447
2821,1.7447572,-0.8323574,-0.16449475
2842,0.951941,-1.1011791,-0.07218957
2861,-0.007247448,-1.2309027,-0.77436125
2881,0.8124752,-0.9126806,-0.013009787
2901,0.7082548,-1.6009808,-0.054581285
2922,-0.46936083,-0.80046797,-1.2173094
2941,-1.1266108,-0.8333607,-3.1605325
2961,-1.8288565,1.9014664,-0.7686677
2982,0.08075237,-0.28734255,1.4220654
3001,0.21874905,0.1887331,2.513731
3021,-0.40344954,1.1138587,-1.5139847
3041,-1.0941463,2.7644825,-2.8200119
3061,-0.83060455,1.1467614,-11.1041355
3081,-4.783141,1.4790268,-13.466379
3101,-4.815449,2.9197645,3.2737842
3121,3.4281273,1.8634071,18.932726
3142,-0.1935764,0.8748274,-2.872438
3161,0.34402332,0.5117073,-0.9342227
3181,-3.6888595,0.17370033,2.5103655
3201,-1.5455667,-0.5643835,4.4902883
3222,-2.2939978,0.5412617,3.9888234
3241,-2.7185776,0.41539478,6.6070094
3261,-3.3131459,1.131053,7.180008
3281,1.466258,-2.410378,1.6331186
3302,0.43021727,2.3895617,2.207314
3321,2.5717778,1.1297112,-5.963701
3341,6.218793,0.048487663,-9.194144
3362,5.3807735,-1.7646828,-4.461088
3381,-0.516222,-1.5944214,3.6557283
3402,-1.714921,-0.93634605,3.572746
3421,1.5335226,-3.6051378,3.2786796
3441,1.1179609,-3.8611784,1.7574048
3462,-3.0551484,-2.4040842,-1.2415822
3481,-3.8231425,-1.961854,-1.7668037
3501,-2.6425996,-0.471488,4.0812106
3521,-3.1810663,2.4766817,2.5036838
3542,2.1320405,-3.0202065,-1.3883736
3561,-0.68642116,-0.71184635,0.34218884
3581,-0.88125277,-0.18412685,0.46571302
3602,0.13456202,-0.99761677,-0.3253441
3621,0.028355837,-0.9490404,0.029988289
3641,-0.28864455,-0.75083923,0.79798055
3662,-0.18841505,0.121658325,-0.25855017
3681,1.6147189,-0.5703621,-1.1734519
3701,1.5567589,-0.42353344,-1.3671997
3721,-0.04032731,0.038348198,-0.34259772
3741,-1.1162173,-0.8362274,0.69976926
3762,-1.241072,-1.184453,0.6301718
3781,-0.35138667,-0.8987894,-0.18093252
3801,-0.7119379,1.1901178,-0.4278171
3821,-2.4306343,3.3037176,1.400567
3842,-1.8949518,2.3429747,2.0203598
3861,-0.9069927,0.930563,0.88723254
3881,-1.1101989,0.59443474,-0.37303352
3902,-0.9759675,0.27715588,-1.3761976
3921,-0.67687666,0.072836876,-0.49324155
3941,-1.2034782,1.6063824,2.321123
3962,-1.2713962,4.104227,1.1302404
3981,-0.8120167,3.8402767,0.5070276
4001,2.793208,-1.9629307,-0.51976275
4021,2.8492556,-6.115799,-2.5304103
4042,-1.3534479,-4.2267733,0.047067642
4061,-2.0494704,-1.6604967,0.5435016
4081,-1.0381527,-2.4934072,-0.60984564
4101,-1.7958645,-2.3554373,0.9590554
4121,-0.8918351,-0.7982969,-0.46439528
4142,4.2348704,2.2306852,2.7741356
4161,1.0465636,3.5553398,1.7400799
4181,-2.118238,4.6756287,-4.092237
4201,0.1585831,0.23939133,1.6909127
4221,2.6166368,-2.276741,-0.9457476
4241,0.35725838,-3.3382263,0.87431264
4261,-0.012473077,-2.431882,2.1396322
4282,1.9087216,-4.685156,0.18024898
4301,-2.9303973,-0.4550352,0.41013777
4321,-0.4341943,0.5035629,-0.18417335
4342,-0.22282079,-1.6953535,0.3233813
4361,-0.5805265,-0.50213623,0.065424144
4381,0.41139567,0.5793276,-0.12242091
4402,0.20751315,-0.684495,-0.041389108
4421,0.7468651,-0.861495,0.39721078
4441,0.4350722,-1.3729725,-0.35477072
4461,0.32369483,-3.3068066,4.6041155
4482,0.4184392,2.3521776,-2.3734157
4501,0.40904707,-1.9062262,1.5006701
4521,-0.5663104,-2.5870552,0.5117805
4541,-1.4027276,0.15662575,0.29713774
4562,-0.6638298,-0.12837219,0.4901564
4581,-0.6001102,-1.7063627,-0.77096343
4601,0.69893765,-4.2594604,0.9227216
4621,1.1900017,-8.391576,0.80659986
4642,0.36009586,-4.170643,1.3530416
4661,-9.354283,4.103508,4.0423594
4681,1.3046976,-0.33191776,-2.845779
4701,2.754425,-0.32946777,-2.7071328
4722,-0.13856685,3.9864063,-2.2740397
4741,-0.6399839,3.5469208,0.68926835
4761,-1.5453408,7.4899426,-0.5425043
4781,1.0055479,9.238096,0.6993791
4801,5.9355483,9.4271755,3.8923292
4822,-1.2451533,5.6591606,0.64211655
4841,-17.764835,16.165684,-2.622652
4861,0.42200673,-11.924382,0.14109802
4881,0.26343083,-7.4355774,1.800182
4902,3.3355746,-8.298648,-0.04199159
4921,1.5711265,-6.36989,0.8554678
4941,-0.25658876,-2.3083534,-0.9187123
4961,0.227655,-1.4147615,-1.2061933
4981,0.71334296,-3.150382,-0.06485987
5002,1.3221414,-6.4038496,0.81119967
5021,1.5183688,-5.442318,0.23952758
5041,-2.2908463,-1.1107969,-0.5120629
5061,-1.7769033,2.8608255,-1.8723446
5081,-0.49443066,4.1619196,-2.4276948
5101,0.841782,5.5307226,-0.19788754
5122,-0.70122004,3.4588366,1.959007
5141,-2.9052856,0.6960287,1.6010168
5161,-2.6256142,0.6294279,0.20691514
5181,-0.41083968,-0.1633997,-0.25811028
5202,-1.1523743,-0.18707752,0.11243725
5221,-0.7664262,-1.2614088,-0.41848397
5242,-0.3650775,-1.3995819,1.1827211
5261,-0.58895147,-1.5030994,0.9251993
5281,-0.48104703,-0.26794243,0.26678944
5302,-0.028924227,-0.05562973,-0.29960322
5321,0.39917707,-0.6178818,0.3058102
5341,0.2947811,-0.60498524,-0.01094389
5362,-0.2687763,-0.5783777,0.22939062
5381,-0.17621899,-0.5262966,0.11569643
5401,0.036262512,-0.089440346,-0.54079175
5421,0.34043062,0.2884245,-0.27420425
5442,0.11481786,0.081786156,-0.5320084
5461,-0.59762776,-0.11161709,0.533535
5481,-1.1186404,-0.2559929,0.5923393
5501,-1.0246719,0.05456257,0.49119854
5522,-0.6915498,0.17934513,0.011920214
5541,-0.89439607,0.5421486,-0.22510433
5561,-1.0579776,0.27465534,0.9953587
5581,-1.7577989,0.1730318,1.7960486
5602,-1.4347217,0.15176487,0.14452219
5621,-1.1027219,0.0689497,-0.19006419
5642,-0.68347347,-0.45857906,0.45599437
5661,-0.7794596,-0.7602167,1.0222458
5681,-0.6854489,-0.69800663,0.5452887
5701,0.001803875,-0.5486727,-0.22342384
5721,0.069395065,-0.4964304,-0.06241417
5741,0.25125337,-1.2147503,0.55268
5762,0.6870346,-2.851326,1.6881733
5781,0.81617785,-3.73413,1.7853142
5801,2.065475,-3.797286,2.182685
5821,3.2241154,-4.7163095,2.1599684
5842,1.0163269,-4.309108,1.3029594
5861,-2.141207,-1.8934402,-0.9076668
5881,-1.9918458,0.6665573,-1.9227326
5901,0.0022768974,4.271098,-2.554608
5922,4.042095,3.6142378,-0.8986149
5941,-1.6931245,8.04722,0.4775083
5961,-2.603262,11.154508,-1.0292094
5981,-0.28496432,11.466263,4.5397263
6002,-7.679753,11.330788,-3.0554864
6021,-9.63838,2.9733448,-5.2716246
6042,-2.0206945,-1.1316576,-4.09523
6061,-1.6691556,-3.1681013,-2.2082627
6081,-2.3810983,-12.532671,-12.036537
6105,5.4395533,-10.359307,2.0709796
6122,3.5048468,-6.273837,10.901467
6141,2.9419632,-0.1318407,1.7652316
6161,2.3860922,2.0011377,-1.3302066
6181,3.0672085,-2.153823,0.46832204
6202,2.6285,-4.772933,7.7225275
6221,-4.22114,0.5560398,-6.2301884
6241,-4.0294647,3.6849022,-5.690856
6261,-2.9832816,5.9775686,1.105531
6282,-4.5230746,6.8231916,-1.6691468
6301,-2.7067537,8.142786,2.9654381
6321,0.71504784,2.0542717,-0.6963701
6342,1.1477157,-0.7665167,-4.3048334
6361,-0.055027485,-0.5872984,4.7188845
6381,-1.920255,-6.2509785,-2.1251884
6401,0.30407453,-7.404649,1.214749
6422,2.5880084,-5.586919,3.6837616
6441,1.9092164,-2.8213959,1.2866944
6461,2.3077137,-1.3168087,0.8012711
6482,3.0528653,-1.473114,0.66555715
6501,1.6436574,-1.3792953,-0.32468307
6521,0.40087354,-2.57166,-1.5819483
6541,0.19592321,-3.059288,0.087754965
6561,2.5101728,-5.615919,1.9446877
6581,-0.11608994,4.140276,2.5302281
6602,-2.4807887,5.6764135,-0.9084102
6621,-4.4624925,7.8972445,-0.80424035
6641,-0.6161314,3.8726988,-0.65107405
6662,-0.3955114,-0.510272,-0.2645539
6681,0.6558391,-3.8822641,-1.1583645
6701,1.238753,-4.824604,0.26932466
6722,0.27205586,-1.3890076,0.07508156
6741,0.61118054,0.36266136,0.06693834
6761,1.6892592,0.097779274,-0.21395516
6782,2.0006547,-0.59202003,0.5057715
6801,1.6409297,-0.37465,0.72539425
6821,-0.20607054,0.8866787,-0.7869241
6841,-0.7593993,-0.3011322,-0.72656953
6862,-0.45716166,-1.4995842,0.7126024
6881,-1.3248563,-0.97655773,0.6105164
6901,-1.3578924,-0.6384201,0.021372437
6922,-1.068147,-0.53009796,0.39830673
6941,-1.3190209,-0.13739109,0.65509665
6961,-1.7057344,0.12939739,-0.5287663
6981,-1.3166159,-0.5923691,-0.34383702
7002,-0.35212326,-1.4370031,-0.25092423
7021,-0.50972784,-1.3141947,-0.69316745
7041,-0.47132313,-0.43346882,-1.3108087
7062,-0.29871488,-0.12810135,0.088707805
7081,-0.5737084,-0.06867123,0.3925053
7101,-0.5794312,0.04355812,0.4720652
7121,-1.3963611,0.5266495,0.9721341
7141,-1.4664539,0.6213236,0.8753829
7162,-1.6050203,-0.09942722,0.97420394
7182,-1.8340566,-0.18993473,0.47590625
7201,-1.3731256,-0.86256504,0.5313724
7221,-1.2471904,-1.0958633,1.2527156
7242,-1.4607111,-1.1605568,2.412942
7261,-2.0229158,-1.4431658,2.2127209
7281,-2.3560262,-1.927619,1.7838616
7302,-1.7528839,-2.8021965,1.1567905
7321,0.407156,-3.4023714,1.3471904
7341,0.752147,-2.674016,0.38724327
7362,-0.38063696,-1.3868446,0.060339928
7381,0.037703544,-1.9068995,0.8289156
7401,0.4206499,-2.3413286,0.9612665
7422,1.2222443,-2.4059763,0.13316488
7441,1.0243804,-2.4267159,-0.7073951
7461,0.25535065,-2.1752338,-0.37269354
7482,-0.481739,-1.8763442,-0.2504549
7501,-0.41260752,-1.7653279,-0.8651047
7521,-0.58365035,-1.2849054,-0.84613943
7541,-0.33560646,-0.7081089,-1.2603531
7562,0.7687672,0.42681694,-1.5958962
7581,0.30691192,0.87523603,-2.1236715
7601,-0.074863285,1.4023972,-2.1125994
7621,-0.41464654,1.7156782,-2.4972162
7642,0.049335778,1.6829352,-2.1627684
7661,1.0724014,0.95630026,-1.9834747
7681,1.4110489,2.6419797,-3.0983877
7702,0.9165106,2.665914,-2.403634
7721,0.4645546,1.1977792,-2.056858
7741,0.39295793,1.4036586,-2.5807962
7761,-0.045933615,1.8887353,-2.118516
7781,-0.20742504,1.4026377,-2.2005253
7802,0.6383473,1.6430078,-1.8767786
7821,0.62345105,1.5044682,-1.2769032
7841,0.094313845,1.3103399,-1.4399643
7862,0.17118582,1.1963668,-1.084858
7881,0.28745443,1.0601826,0.042429924
7901,0.9088462,0.644773,1.3165674
7921,0.6242049,-0.45508957,1.4967985
7942,0.7652889,-1.1401157,1.4968939
7961,0.79976,-1.5720096,3.5140505
7981,0.32614833,0.41210985,2.506174
8002,0.25399157,1.52033,0.9284859
8021,1.1295978,1.8338351,-1.0357685
8041,0.33415207,1.9722013,-1.1520472
8061,0.38191852,1.3646679,-1.3538971
8082,0.69314724,1.5895348,-1.3865805
8101,0.29622093,1.171155,-0.116223335
8121,-0.5676189,0.48642635,0.6648617
8141,-0.21648659,0.2842207,0.46152496
8162,0.14220566,1.3984127,-0.09501457
8181,-0.4059983,1.4734964,0.4644928
8202,-0.57255995,0.4611559,0.42733288
8221,-0.120438665,0.06876898,-0.56814194
8242,0.62575483,1.0232949,-0.97888184
8261,1.2070308,1.5398993,-0.42403984
8282,0.13836628,1.1522746,-0.8373804
8301,-0.99829525,0.04015541,0.92840767
8321,-0.46113217,-1.5373421,0.396739
8341,-2.108504,-2.2235408,1.1495595
8362,-1.5150385,-2.0413184,0.4149804
8381,-0.49512136,-1.1358614,0.28770876
8401,-0.5351763,0.923614,0.6206393
8421,-0.544206,0.4175644,0.5090785
8442,0.033161044,-0.54236126,0.9787593
8461,-0.1483444,-0.91538286,1.2663407
8481,0.04995954,-0.57309675,0.17546701
8501,0.18083751,0.83702564,-0.08686781
8522,-0.40965426,1.3707619,-1.1339726
8541,-0.5850197,1.0799127,-0.7175708
8561,-0.22317743,0.366323,-0.06759262
8581,-0.3775432,0.1386528,0.18560648
8602,-0.65203154,0.63262033,-0.012049675
8621,-1.1646298,1.7517467,-0.08705044
8641,-1.453449,2.055677,0.72533894
8661,-1.0294561,1.7923808,0.6264167
8681,-1.1449277,1.5125628,1.0368333
8702,-1.4229683,0.4620366,2.1644669
8721,-0.24402916,-0.296278,0.49101114
8741,-1.0514492,-0.105811596,2.5425544
8761,1.1116929,-0.75396204,1.2039852
8781,1.3322076,0.030421734,-0.3708105
8801,0.006986499,0.757535,-0.24227858
8821,-0.6853179,0.68261766,0.51642513
8841,-0.39098692,0.9125757,0.4083457
8862,-1.2012162,0.98691225,1.0152144
8881,-0.92613745,0.95494413,1.451014
8901,-0.96015906,0.7238159,0.8098278
8922,-0.6624546,0.0023622513,0.5891218
8941,-0.40738046,-0.119874954,-0.13900757
8961,-0.843657,0.4743023,-0.42208672
8981,-1.1174433,1.044384,-0.5533376
9001,-0.79190207,1.1693211,-1.0727739
9022,-0.3188169,0.054484367,0.14347124
9041,0.18912494,-0.7793665,0.1681118
9061,0.78639793,-0.7658329,-0.15473127
9081,1.0810934,0.43740368,0.10042238
9102,2.1033683,0.61312485,-0.77315474
9121,2.5423968,0.8969488,-0.10972786
9142,0.87190795,1.100213,0.32673645
9161,-0.7759043,-0.8412466,1.2459784
9181,-1.0424984,-3.2711468,2.6632352
9202,-0.013007402,-3.7477198,3.1160173
9221,-0.24679756,-2.526536,1.3208418
9241,0.23226166,-1.1022444,-0.6777797
9261,0.54855394,-0.21915245,-0.42580795
9281,0.32053137,-0.46984482,-1.6728463
9302,0.33942866,-0.62600803,-0.84178495
9321,0.70988035,-0.17767715,-0.3623371
9341,0.37507868,0.6207228,-0.42803812
9362,0.5801666,0.6057606,-0.20476913
9381,0.050584555,0.008488655,1.270534
9401,-0.45446825,-0.6523199,1.2886953
9422,-0.60440135,-0.55657864,0.5362668
9441,-1.1632209,-0.12707233,1.3266745
9461,-1.7784765,-0.7479172,2.0357137
9481,-3.2329566,-1.7630277,1.2152233
9502,-3.0524495,-1.9627004,1.6135182
9521,0.8452697,-1.5258613,2.0938158
9541,3.03554,0.16336489,0.4933567
9562,1.9046788,2.80937,-2.0161414
9581,1.239562,3.640028,-1.0485005
9601,1.5570652,0.9727955,0.22200441
9621,0.15754533,-0.96667624,-0.50325966
9642,-1.0646942,-0.39297104,-1.9715524
9661,-0.87995434,1.0203929,-0.69220066
9681,-1.095803,1.3093996,1.318582
9702,-1.3002789,0.040004253,0.02776146
9721,-1.2509401,-0.13699818,-0.7442541
9742,-0.2761786,0.8239045,-0.26489067
9761,0.09408188,1.185442,-1.1738296
9781,0.54825425,1.2195473,-1.108067
9802,0.9957099,0.84387445,-0.21712303
9822,0.5299194,-0.36739874,0.47466278
9841,0.011561155,-0.32273245,1.8145552
9861,-0.85314465,-0.5979433,2.6595602
9882,-1.0409958,-1.7309246,3.4010992
9901,-1.4095056,-1.8905411,3.6470785
9921,-0.6875372,-1.3460035,2.221075
9941,-0.40683293,-0.031392574,2.035833
9962,-0.5310209,0.51679754,1.6104808
9981,-0.59058785,0.49885654,0.9145255
10002,-0.12969375,0.33955288,-0.11383104
10021,-0.583127,0.5186181,0.14220285
10041,-1.0292249,-0.08694029,0.018434525
10061,-1.6594772,0.24341059,0.6969929
10082,-1.442909,0.59470606,-0.22798729
10101,-0.60281897,1.1327443,-1.3329306
10121,0.15135407,1.3755174,-1.065753
10141,-0.25194883,1.0885663,-0.28494835
10161,0.124738455,0.18761587,-1.3794026
10181,0.20117259,0.90137386,-1.0488524
