Milliseconds,X,Y,Z
1,0.098220825,-0.034362793,0.036834717
22,-0.014694214,-0.20373535,-0.07926941
41,0.06626892,-0.08442688,-0.10484314
62,0.21540833,0.15206909,-0.152771
81,0.28570557,0.33529663,-0.21350098
101,0.27505493,0.31611633,-0.2752838
122,0.34855652,0.037017822,-0.32641602
141,0.5051575,0.03488159,-0.41589355
162,0.5104828,0.5856323,-0.6236267
181,0.42419434,0.36831665,-0.51815796
201,0.2644043,-0.15153503,-0.8079071
222,0.53178406,-0.18348694,-1.0039215
241,0.9664154,-0.62132263,-1.3064575
261,0.9184723,-0.70654297,-1.1946106
282,-0.0093688965,0.5600586,-0.38926697
301,-0.19152832,0.9616699,0.044296265
321,-0.030670166,0.26712036,-0.13786316
341,0.032180786,-0.46897888,-0.47235107
362,0.26226807,-0.8428955,-0.5117645
381,0.46253967,-1.1901703,-0.5437317
401,0.48918152,-1.0772552,-0.5618439
422,0.37519836,-0.67245483,-0.5469208
441,0.24949646,-0.48176575,-0.5234833
461,0.22924805,-0.7118683,-0.43614197
482,0.21113586,-1.0410309,-0.3807373
501,0.2132721,-1.201889,-0.45637512
522,0.24629211,-1.1283875,-0.5384064
541,0.14723206,-0.6096039,-0.58847046
562,0.0140686035,-0.200531,-0.5746155
581,-0.12974548,-0.20373535,-0.54159546
601,-0.09033203,-0.30918884,-0.50857544
622,0.12591553,-0.50839233,-0.47235107
642,0.40289307,-0.7118683,-0.36476135
661,0.688385,-0.91000366,-0.2273407
681,0.5861206,-0.96113586,-0.078201294
701,0.22073364,-0.9494171,0.15402222
723,0.01939392,-1.4639435,1.3769379
741,0.24629211,-2.4535675,1.9841461
762,0.6148834,-3.0277557,1.20224
781,0.5669403,-2.5132294,-0.2976532
801,-0.0051116943,-1.713211,-0.535202
822,-0.7326813,-0.77897644,-0.23266602
841,-1.0085907,-0.23568726,-0.059036255
861,-1.1278992,0.08389282,-0.1485138
881,-1.1353455,0.0039978027,-0.2752838
902,-1.0128479,-0.095077515,-0.40205383
921,-0.72735596,-0.006652832,-0.37968445
941,-0.44932556,0.18190002,-0.31150818
961,-0.22775269,0.4620514,-0.2422638
981,-0.14997864,0.7571411,-0.23480225
1002,-0.2842102,0.66659546,-0.15704346
1021,-0.36943054,0.09240723,-0.12828064
1041,-0.35450745,-0.42637634,-0.18367004
1062,-0.40563965,-0.55952454,-0.152771
1081,-0.47595215,-0.35820007,-0.008972168
1101,-0.49406433,-2.746582E-4,0.08691406
1122,-0.6346741,0.08921814,0.16574097
1141,-0.7859497,-0.22824097,0.18385315
1161,-0.70391846,-0.5776367,0.2541504
1181,-0.49086,-0.70866394,0.39582825
1202,-0.37475586,-0.61065674,0.5982361
1221,-0.48660278,-0.8471527,0.84750366
1241,-0.48980713,-1.4532928,1.4270172
1262,-0.19792175,-1.7025604,1.6326141
1281,-0.059432983,-2.2937775,1.8445892
1301,-0.23200989,-2.5909882,1.9351349
1321,-0.31936646,-2.413086,2.049118
1342,-0.122283936,-2.414154,2.3101196
1361,0.32299805,-3.3451996,2.58815
1381,0.96855164,-4.5052643,3.0536652
1402,1.6662903,-4.78331,3.0909576
1421,2.120102,-3.8565216,3.0227814
1442,2.0710907,-2.667694,2.873642
1461,1.8931885,-1.8751373,2.8917542
1481,1.8175659,-1.4319763,2.6733704
1502,1.8804169,-1.1901703,2.33461
1521,1.8282166,-1.1443634,1.9852142
1541,-0.25756836,-3.099121,-0.5224304
1562,-1.2290955,-1.6865845,0.40968323
1581,-1.205658,0.21385193,-0.020690918
1601,-0.60697937,0.40452576,-0.015350342
1622,-0.026412964,-0.819458,-0.080337524
1641,0.45402527,-1.6215973,-0.24331665
1661,0.83218384,-2.0050964,-0.23799133
1681,0.9152832,-1.4852448,-0.047317505
1701,0.8407135,-0.52864075,0.31381226
1722,0.55415344,0.5089264,0.44270325
1741,0.40715027,0.9350281,0.53219604
1761,1.0143585,1.6945648,0.87519836
1782,1.9688263,1.7680664,0.91781616
1801,0.9696045,-0.5456848,0.9977112
1821,0.98132324,-0.5350342,1.0829315
1842,0.9376526,-0.6138611,1.188385
1861,0.9483032,-0.8705902,1.0041046
1881,0.9706726,-0.55633545,0.8453827
1902,0.83432007,-0.17922974,0.6728058
1921,0.52220154,-0.0087890625,0.8879852
1941,0.06945801,-0.30174255,1.3971863
1962,-0.21282959,-0.8801727,1.8659058
1981,0.08117676,-1.2370453,1.9234314
2001,0.14616394,-1.6940308,1.4312744
2021,-0.016830444,-0.866333,1.3982544
2042,-0.013626099,-1.3073425,1.1638947
2061,0.28144836,-1.7611542,1.9734955
2081,-0.07647705,-1.3968353,2.8384857
2101,-0.13293457,-1.7931061,2.2792206
2121,-0.64427185,-1.5907135,1.9425964
2142,-1.1108551,-1.1859131,1.807312
2161,-1.0522614,-0.6745758,1.7497864
2181,-0.6133728,-0.6841736,2.080017
2201,-0.46316528,-2.191513,1.9383392
2222,0.2090149,-2.11055,1.3513794
2241,0.060943604,-0.6980133,0.68452454
2261,-0.23094177,0.29481506,0.17318726
2282,-0.17448425,0.44500732,-0.0025787354
2301,-0.073287964,0.08921814,0.17318726
2321,0.51794434,-1.2402344,1.5101013
2342,0.5104828,-3.0075073,-0.30723572
2361,-0.14039612,-2.3246765,0.8293915
2381,0.40182495,-1.3488922,0.66108704
2402,1.6577759,-0.16111755,-0.033462524
2421,1.6716156,0.9499512,0.0059509277
2442,-0.75398254,0.07536316,0.42459106
2461,-1.8682556,0.22343445,0.8730774
2481,-2.3710632,1.1640625,0.56414795
2501,-2.5169983,1.9566193,0.08584595
2521,-1.2802277,3.0378723,-0.45637512
