Milliseconds,X,Y,Z
1,1.1147045,0.90361357,1.849536
100,0.5560497,1.610374,5.6858883
201,-1.7548064,-0.19059896,-2.4831228
300,0.7422538,-2.5947142,-1.4640465
400,1.6933615,-0.9331479,-0.32581902
500,-2.6527617,-1.4853134,-1.1910963
601,-1.4064484,-0.9680629,-0.94267464
700,0.48110464,-0.13676834,-1.5954666
801,2.105791,-1.0024195,1.9045925
900,1.8816297,-2.5135128,-1.5130215
1001,-1.7193357,-1.7982402,-3.7425995
1100,-1.5808117,-0.1450355,2.0154467
1200,-1.1382772,4.8486156,-0.0059509277
1301,0.03503132,3.2351956,3.5449686
1400,0.2726388,-0.1276989,1.1368895
1500,-0.14151907,-1.4554858,2.4593892
1600,-3.2014365,-1.8983254,-2.2111397
1701,-5.0033884,-6.2933354,-3.6345117
1800,-3.3479667,-5.9415874,2.9524658
1900,1.7408714,-10.591804,-1.4688905
2000,2.4654512,-15.214682,3.637783
2101,13.502018,-5.366114,-0.46319854
2200,3.492961,0.24807072,0.42477077
2300,3.9652402,3.408352,-0.53392875
2400,11.187982,3.220955,1.22122
2501,8.168895,2.0820255,3.6450841
2600,5.0936885,-1.8527784,5.828981
2700,2.8844733,-7.065065,-0.50285417
2801,2.2927713,-8.000309,0.77767396
2900,-4.863694,-9.576057,1.1203096
3000,-8.359157,-7.9228606,0.13046724
3100,-8.758032,-7.712088,-1.1269065
3201,-4.0064516,-11.140259,0.5185543
3300,8.048571,-10.084991,-0.503268
3400,6.8082995,-1.203269,0.044036865
3501,4.7580805,1.0028658,0.70553875
3600,9.130045,3.8664465,-0.47597855
3700,12.104519,2.964076,-0.65920866
3801,7.832796,0.8104811,-0.30298513
3900,3.9981284,-5.627863,1.2613549
4000,3.1056366,-6.878014,0.2424326
4101,-3.4194899,-8.708765,1.5187509
4200,-7.117879,-7.7086697,1.6178668
4300,-7.9656553,-6.91951,0.1328808
4401,-4.475689,-9.262504,0.7456552
4500,5.8810034,-6.934793,0.049637914
4600,4.4957576,-0.6385155,-2.112259
4701,3.5987697,0.67612267,2.813095
4800,7.637946,4.083082,-1.3489915
4900,10.943274,3.8319502,0.28148878
5001,7.3153496,0.8567333,1.2546219
5100,5.276198,-3.8571954,1.1653137
5200,3.9459991,-7.0696692,-2.2340806
5301,-3.3511086,-10.093388,1.6529334
5400,-7.18719,-8.102461,1.1430422
5500,-9.117121,-7.070734,-0.4232182
5601,-5.494317,-10.508535,-0.43024248
5700,8.085976,-9.050333,1.0214498
5800,5.883905,0.18134737,-3.8744817
5901,2.7599235,0.45785904,1.2045399
6000,6.3696747,2.9570541,0.32974243
6100,11.255044,3.647378,0.063465714
6200,7.6136084,2.7041807,-1.1536949
6300,4.9997144,-4.2197976,2.6877203
6400,2.8323364,-5.136512,0.79108834
6501,-1.5362787,-7.1074686,1.4539089
6600,-6.351903,-7.347924,2.5763164
6701,-7.684969,-6.5167885,1.1425747
6800,-4.631818,-8.537004,-0.23055315
6900,2.5759068,-6.805452,-0.49539483
7001,4.969417,-1.7492523,-1.4031677
7100,4.189625,-0.09257412,1.4688429
7200,6.182597,3.6204557,-0.99423397
7301,10.479174,3.3600435,0.31053495
7400,10.048087,1.3336678,-2.0186248
7500,4.6444163,-3.2224722,1.6251744
7601,2.9667015,-5.02104,1.6461208
7700,-0.32306385,-6.714962,1.3278227
7800,-4.654624,-7.686046,2.5387466
7901,-7.610532,-7.255377,2.2105782
8000,-6.6263056,-7.9479113,0.51207745
8100,0.3027258,-6.6521254,-0.49516833
8200,4.259003,-3.5492754,-0.1267103
8301,6.349243,-0.09009266,-0.41499603
8400,8.47632,3.273243,-1.3416088
8500,9.324185,3.4910793,-1.255723
8601,8.368248,3.0690727,0.09330082
8700,5.419545,-3.616714,1.6130967
8800,3.6772776,-5.5006156,0.17554736
8901,-2.8122225,-8.153467,1.7549448
9000,-6.6452274,-7.8150287,1.4430721
9100,-6.391344,-7.3211203,0.5119461
9201,-4.2101107,-7.8845797,0.76564956
9300,4.137087,-6.624491,-0.5888928
9400,5.0248084,-1.3878427,0.032360554
9501,4.3632703,0.83160305,1.2739804
9600,7.62054,3.0320606,-0.96485245
9701,11.505289,3.5041466,1.2620027
9800,6.801051,1.7181911,0.017370343
9901,4.7716007,-3.7946367,1.888374
10000,1.8643312,-6.549274,-0.74984074
10100,-3.5017014,-7.621986,1.6472914
10201,-6.859419,-7.9151597,0.89389944
10300,-6.383913,-7.8581915,-0.111620426
10400,-2.3801003,-6.428985,0.47110522
10501,3.0482264,-2.6475492,-1.1594412
10600,1.3211627,-2.23696,0.72249913
10700,5.6035085,1.2351913,0.6083089
10800,11.106136,3.1109467,-0.14702702
10900,9.706051,2.987731,-1.6900741
11001,4.8478723,-0.18173218,1.6166339
11100,4.224475,-2.4941993,-0.28671694
11200,0.92200184,-6.3425364,0.7785144
11301,-4.5983496,-6.8479557,2.889641
11400,-6.453534,-6.2425623,1.6647797
11500,-5.616721,-7.3477,1.1936886
11601,-0.68982506,-4.5740385,-0.8731909
11700,1.0609212,-2.55932,-0.7363317
11800,3.1656647,-1.8322692,1.7775682
11901,7.210722,2.2680922,-3.4565518
12000,10.636824,2.7396173,-1.2842357
12100,7.7547607,3.1151657,-0.4090711
12201,4.635012,-0.56951094,1.30994
12300,2.9259324,-4.396372,-0.5409808
12400,-1.8271084,-9.175061,2.8467743
12501,-6.032324,-6.339908,2.1855018
12600,-4.7956343,-7.4193897,-0.10586476
12700,-1.8681087,-5.7020016,1.2212424
12801,1.0670176,-3.7879272,-1.0918875
12900,1.3256836,-1.3188128,0.36670327
13001,5.0063825,0.71505165,-1.0120863
13100,8.174133,2.2809658,-3.0343597
13200,11.208086,2.168435,-0.6824554
13301,6.5236173,2.1165524,-0.19618595
13400,5.805336,-1.9451113,0.4611851
13500,1.0242376,-7.5665255,-0.13631535
13601,-4.7702684,-7.121258,2.0941772
13700,-6.9798183,-7.650218,0.56714916
13800,-5.566596,-8.025727,-0.85196567
13901,-1.1183271,-5.9401016,0.10942066
14000,1.734458,-2.4881139,-1.0847344
14100,3.5980191,-1.4949932,1.1923041
14201,7.0251155,2.3357258,-0.4307015
14300,9.256055,3.2736082,0.5966437
14400,9.161486,4.3527365,-0.16390347
14501,5.0568542,-2.024911,1.9703963
14600,3.4090314,-4.569809,-0.64898705
14700,-2.3021326,-7.068769,1.8455756
14801,-6.366867,-7.4689703,1.0130136
14900,-6.3671837,-6.714835,0.20292604
15001,-3.7414827,-6.736132,0.45280004
15100,4.1180315,-4.113034,-0.97286654
15200,1.8534417,-1.131638,0.051048756
15300,2.0919695,0.10417652,2.4615796
15401,6.7626486,1.0739336,1.0974007
15500,10.685766,2.8717432,1.1108291
15600,5.845617,2.854703,0.51745963
15701,3.7286658,-1.700849,1.7149873
15800,1.553854,-4.0310163,-1.5782144
15900,-3.5499048,-6.123786,1.870055
16001,-6.2458763,-6.7396364,-0.06714594
16100,-4.459463,-6.4728727,-0.89056265
16201,-0.97055244,-5.455539,1.2083696
16300,0.58011913,-0.40293264,-2.4073944
16400,0.5300679,-1.8274522,2.2564788
16501,4.322904,1.2990017,-0.11816585
16600,7.157337,2.171009,-2.2818885
16700,10.338384,3.7048721,0.39568758
16801,4.598669,0.36083126,0.84013355
16900,3.9771256,-1.4578815,-0.15056562
17001,0.26388836,-5.861349,1.6053231
17100,-4.204795,-6.521301,1.7505655
17200,-5.0630713,-6.949338,0.57227397
17301,-4.6967335,-5.1465425,1.2512537
17400,-0.46287632,-4.7582035,-1.7892251
17500,-0.08664417,-2.193501,1.6141732
17601,4.3964033,-0.898942,0.66729355
17700,8.106648,2.0230122,-1.5563986
17800,9.749812,2.8044977,-1.2432613
17901,7.3851,2.9131613,0.13643193
18000,5.202263,-1.0964398,1.1971385
18101,2.061983,-5.867788,0.14166331
18200,-3.651433,-6.6701937,1.9748333
18301,-6.2949314,-7.4967737,0.8642597
18400,-4.895591,-8.789421,-1.2006594
18500,-1.0543051,-4.7605057,0.83769536
18600,-0.31651592,-2.4097004,-1.4489949
18701,3.409186,-2.1062202,1.786804
18800,7.2216086,2.030571,-1.5326467
18900,9.063293,2.4461012,-0.55968714
19000,7.5283985,3.9975243,-0.6357442
19101,4.5803456,0.316329,2.150289
19200,3.3387947,-3.1001658,-0.7085531
19300,-1.9949055,-5.345991,1.847712
19401,-5.604499,-5.968499,2.288913
19500,-3.945507,-6.706822,0.90837216
19600,-2.1351662,-3.112883,2.402054
19700,-0.4167347,-2.5661144,-2.205884
19800,-1.635797,-1.5012159,1.4743557
19901,3.1838546,0.5337467,-1.0458562
20000,6.332366,0.9904976,-1.1528006
20101,9.1801605,1.9105539,-0.85797024
20200,6.579421,3.7224874,0.45381725
20300,4.501816,-0.21835518,1.1631799
20401,2.2641888,-4.3217955,-0.3097713
20500,-3.4843454,-6.1031303,1.6326561
20600,-5.4257126,-6.959928,0.86354136
20700,-4.039324,-6.89735,-1.166977
20801,-2.6347208,-2.9659958,0.7181804
20900,0.6551399,-2.0222921,-2.02629
21000,0.04626131,-0.9233532,1.4586306
21101,3.7212467,0.8358941,0.12561321
21200,7.5272446,1.1821833,-2.1521292
21300,8.696167,0.7630472,-0.88072586
21400,5.0010376,1.9419966,-0.8314866
21501,3.9284072,0.19744253,1.2295682
21600,1.7386246,-4.3187695,-0.12532091
21700,-4.4284353,-5.5655966,2.0408392
21801,-5.6806183,-6.4666557,0.95389414
21900,-4.2376966,-6.9293923,-0.6410911
22000,-1.435339,-3.1278243,0.7215711
22101,1.9496903,-1.0070124,-1.9366679
22200,1.2308578,0.029624462,0.24439979
22300,3.9548965,2.770358,-0.46190238
22400,6.572609,1.4541311,-0.38980758
22501,7.896829,1.4320583,-0.6556072
22600,3.8071442,0.55814743,0.6508038
22700,3.0604973,-0.62879276,-0.0053520203
22800,0.7141228,-5.0303564,1.7323434
22901,-4.3902025,-5.27604,2.9657724
23000,-5.2116795,-5.8065057,2.1145074
23100,-4.4064674,-6.9163523,0.4092691
23201,-1.3006792,-3.2905252,-0.5374111
23300,2.143169,-0.794415,-3.314537
23400,2.441307,0.59606314,-0.12788546
23500,4.7825475,4.3540545,-1.4435087
23601,6.7884307,2.7643166,-0.38201594
23700,5.041587,-2.365714,-0.9028609
23800,5.059652,-1.5155754,-1.8220226
23901,-1.2839317,-4.2079105,-2.064382
24000,-4.858906,-4.6608396,-0.93427444
24100,-5.3337803,-3.8878322,0.3970493
24201,-4.476779,-4.2988873,0.06830108
24300,-1.6819725,-5.303376,0.25353706
24401,1.9983978,-3.5603924,1.5508933
24500,5.6967077,-0.25768375,0.15564537
24600,3.5783038,1.2758074,1.605145
24700,1.3629522,1.9428926,3.2248433
24801,4.004595,3.5933132,1.8112512
24900,6.9032707,2.7346964,0.73476267
25000,6.44773,0.4172411,2.2412853
25100,3.203168,-2.77253,4.8601065
25201,2.253407,-3.9847145,1.1006746
25300,-0.47188568,-5.4142065,1.6343119
25400,-4.794408,-5.621866,3.5856915
25500,-4.8587,-6.22189,1.6261199
25601,-3.6185923,-6.6003714,0.98623705
25700,-1.1434383,-3.6664245,0.23412943
25800,0.58553696,-1.1379385,-2.5166144
25900,2.88617,-0.34520388,0.22404528
26000,6.6217957,2.2964935,-0.5851401
26100,8.020683,3.4268332,0.12969577
26200,7.4661865,2.7574596,0.4562763
26300,4.7314954,-1.2121124,2.483856
26400,3.057157,-3.473546,0.8982568
26501,-1.3292942,-6.5495706,1.6202877
26600,-4.824362,-6.843831,1.348825
26700,-5.535555,-5.7803583,0.84458566
26800,-4.535039,-5.4072804,1.2920537
26901,0.17608833,-4.033964,-0.5129825
27000,1.899015,-1.3304582,0.05746746
27100,4.8830442,0.62389374,0.18914068
27201,7.3406963,1.4834919,-1.754343
27300,9.001874,2.6897116,-1.5566908
27401,5.402743,2.2111912,0.108665705
27500,4.22811,-1.0354257,1.181965
27600,1.6018696,-4.6915975,-0.8580377
27701,-3.886138,-6.2795897,1.6947322
27800,-6.1905556,-7.206515,1.6524067
27900,-5.011263,-6.704523,-0.58554935
28001,-1.6189747,-4.256377,0.07333398
28100,0.19970703,-1.4820886,-0.99336624
28200,1.2037163,-0.6926689,-0.078151226
28301,5.429392,2.130745,-1.210458
28400,7.886912,1.6956615,-0.94462395
28500,6.04095,4.77065,-1.2525022
28600,4.0641384,0.7357254,0.93469286
28701,3.0976996,-1.7060046,-0.38419127
28800,-1.6193132,-4.3642945,1.1719289
28900,-5.221673,-4.821389,1.0368297
29001,-4.6365128,-5.232574,0.9912516
29100,-3.0117483,-4.408128,0.39058292
29200,0.61167336,-1.8376102,-0.8600627
29300,-1.020442,-0.6940708,0.46397758
29401,1.6277132,0.13421535,1.5925548
29500,4.8524404,1.1715574,-0.50694466
29600,8.61429,0.87271976,-0.35333347
29700,6.306581,3.7638092,-0.6950518
29800,4.326305,0.8015666,0.82997465
29901,1.5378218,-3.1579633,-0.13165307
30000,-2.921915,-4.8817286,2.2445264
30100,-4.4619284,-6.329623,1.9249005
30200,-2.624879,-4.870726,-0.8102865
30301,-2.2022085,-3.0291796,1.1408021
30400,0.4432516,-1.0483971,-1.0512657
30500,-1.1099482,-0.0116791725,1.131114
30600,2.2509937,0.9633398,0.44940877
30701,6.375382,0.46177292,0.24627757
30800,8.348293,1.5183744,0.0125899315
30900,5.538579,2.1392984,0.34358704
31000,2.918695,-1.1664133,-0.07590842
31101,0.12477207,-4.4776773,0.6167135
31200,-4.224326,-4.868119,0.9546137
31300,-5.15279,-6.2972994,0.69807005
31400,-3.9157305,-4.635655,-0.16040039
31501,0.44074535,-3.8232818,-0.06087911
31600,-1.6732559,-0.53047895,0.102329254
31700,-0.5527792,-1.379643,1.7729354
31801,5.786313,0.30376148,0.09317136
31900,9.938515,1.5784216,0.4592681
32000,6.9814577,4.6225004,-0.15640461
32100,3.98173,0.65242195,1.3544606
32201,2.8835926,-2.622631,-0.59064186
32300,-1.2245846,-4.924467,0.6053953
32400,-4.601555,-6.399149,0.9883101
32500,-4.3194532,-5.959659,0.1391356
32601,-3.3603697,-3.4709952,0.86694837
32700,0.53272533,-1.9640083,-0.9117831
32800,-1.0172758,-0.71200037,0.51370025
32901,0.830451,-0.63816357,1.9709799
33000,4.760556,-0.15695906,-0.2455368
33100,7.407194,1.4160843,-0.8754957
