Milliseconds,X,Y,Z
2,0.8119354,3.4126434,9.459183
100,1.0956573,3.901062,11.945572
201,-0.60902405,2.6943817,12.405258
300,2.0844574,2.2083588,9.071335
400,3.7328644,3.3659668,8.163925
501,0.7544861,1.5152435,8.303986
600,-0.44740295,1.9833069,5.2442017
701,-4.4660797,1.9306335,4.2745514
801,-5.2394104,-4.938324,-0.9376373
900,-16.123444,-6.664551,10.619186
1001,-16.853683,-1.8378296,13.003799
1100,-10.699387,-4.354141,8.639175
1201,-4.551071,-6.408371,9.029434
1300,-6.7465515,-5.563217,9.531021
1400,-2.0000458,-8.742722,8.807968
1501,-0.7263336,-9.524414,7.2637024
1600,-6.3084106,-2.4471588,1.6983795
1701,-9.068924,-2.8050995,1.2710266
1800,-11.682205,-0.46954346,1.9437866
1901,-13.718475,1.2506866,-0.26605225
2000,-7.2912292,-6.6992645,0.82928467
2101,-15.714035,-3.535324,0.4186859
2201,-5.186737,-4.66539,-3.0660706
2300,-7.7185974,-5.807419,0.89512634
2400,-8.057373,-5.9690247,-3.356964
2501,-9.226944,-7.752716,-4.138672
2600,-1.5223999,-10.326477,-1.5242157
2701,0.48872375,-3.8358002,2.2143402
2801,11.685211,-39.204147,2.462143
2900,-1.9677277,-13.823212,-18.110046
3001,0.009887695,-10.034393,2.051529
3100,-2.9948425,-11.184799,-0.35943604
3201,-2.4645233,-12.747025,-0.17866516
3300,2.888916,-15.031082,0.22355652
3400,-2.696762,-6.2635193,-0.8203125
3501,2.5285797,-4.095566,1.1357422
3601,0.95199585,-10.442596,-5.3262024
3700,-3.7142944,-9.079102,-6.6537933
3801,0.4719696,-6.8919983,5.985199
3900,3.7975159,-8.170502,2.7961273
4000,-2.2011566,-14.030304,-0.45999146
4101,-4.4373474,-6.9207306,-3.225296
4200,-0.84484863,-11.151276,0.61860657
4301,-2.4956512,-11.399078,-0.25767517
4401,-1.7738037,-11.695969,-0.41688538
4500,-0.73591614,-11.46492,0.5551605
4601,-0.624588,-8.157333,-2.51062
4700,2.0090332,-4.5971527,1.8444366
4800,-1.7187347,-12.585403,-11.989273
4901,0.54737854,-13.413803,-5.4363403
5000,0.3869629,-0.7652283,4.173996
5101,5.1011505,-13.484436,8.529037
5200,0.750885,-12.03714,-0.5413971
5301,-2.4501648,-9.097061,-6.5723877
5400,-1.6935883,-10.883133,2.2107391
5501,-2.2861633,-12.774551,-1.1543121
5600,-0.9549866,-13.266556,0.3360901
5700,2.17424,-9.551956,-1.612793
5801,1.2321167,-7.9574127,-0.11642456
5900,2.4124603,-4.2643585,0.7837982
6001,-3.5802307,-14.762939,-13.63768
6100,2.4878845,-9.474136,-5.232834
6201,0.82510376,-3.4622955,0.107437134
6300,1.9695435,-12.882294,7.3546906
6401,-0.078704834,-10.09903,0.28341675
6500,-5.696701,-9.178467,-10.387543
6600,-0.69281006,-10.587448,0.016464233
6701,-3.818451,-11.724686,-1.9743195
6800,-1.0806732,-11.570267,-0.84664917
6900,3.091217,-12.815247,-1.1339569
7001,-4.8766785,-8.468582,-4.1410675
