Milliseconds,X,Y,Z
7,-1.5908661,-0.96954346,0.14399719
13,-1.6984558,-1.3690186,0.7735596
24,-1.6100311,-1.3296051,0.98768616
33,-1.1391907,-1.3540955,1.4766388
44,-0.92826843,-1.3935089,1.5852966
53,-0.8153534,-1.4126892,1.7621307
63,-0.6534271,-1.2560883,1.8558655
74,-0.5650177,-0.9013672,1.9655914
83,-0.51068115,-0.41027832,1.9634705
93,-0.50109863,-0.020385742,1.7706451
104,-0.49577332,0.053115845,1.3488007
113,-0.4393158,0.058441162,0.83322144
123,-0.32852173,-0.06300354,0.4550476
134,-0.20495605,-0.01399231,0.20152283
143,-0.16021729,0.23953247,-0.013671875
154,-0.18258667,0.7689667,-0.176651
163,-0.16233826,0.97351074,-0.14788818
174,-0.14743042,1.3186493,-0.0115356445
183,-0.1655426,2.1175995,0.21961975
194,-0.37965393,2.96875,0.46783447
203,-1.0656891,3.1583557,0.69898987
213,-2.084076,3.00177,0.74479675
223,-3.3123322,2.8984375,0.50405884
233,-4.2540283,2.2922974,0.27075195
244,-3.915268,-0.18231201,-0.20222473
253,-2.9160461,-0.46673584,-0.28211975
264,-1.6760864,-0.34849548,-0.19902039
273,-1.0230713,-0.22172546,-0.15853882
283,0.36923218,0.07015991,-0.3012848
294,0.7218323,0.095718384,-0.3726654
303,1.1969299,0.34074402,-0.33644104
313,1.2374115,0.7018585,-0.14256287
323,0.68774414,0.5005188,-0.6496277
334,-0.060073853,0.5612488,-1.5433807
344,-0.35195923,0.66244507,-1.7095642
354,-1.0465088,0.3982544,-1.3122253
364,-1.2989807,0.1244812,-1.1993103
373,-1.3756714,-0.19828796,-1.1726685
383,-1.2276001,-0.4784546,-1.1609497
394,-1.0230713,-0.6925659,-1.0075531
403,-0.86434937,-0.8342438,-0.78704834
413,-0.73864746,-1.0291901,-0.5526886
424,-0.60443115,-1.3381195,-0.34283447
433,-0.41055298,-1.6736755,-0.23736572
444,-0.25076294,-1.8611603,-0.14363098
453,-0.13038635,-1.9730225,-0.017929077
463,-0.01852417,-2.076355,0.06517029
478,0.05709839,-2.126419,0.089660645
483,0.09011841,-2.0742188,0.14506531
494,0.23074341,-1.9080353,0.2462616
504,0.46722412,-1.7876587,0.4177704
513,0.7729645,-1.7280121,0.21324158
524,1.373764,-1.8835297,-0.18623352
533,2.1066742,-2.0539703,-0.5441742
543,2.455017,-1.7951202,-0.53245544
555,2.4954987,-1.0036316,-0.572937
563,2.5381012,0.34925842,-0.797699
574,2.3676605,1.4784393,-1.0309906
584,2.102417,2.1495514,-1.0469666
593,1.9351654,2.3849792,-0.98306274
603,1.4153137,2.5948334,-0.8744049
614,0.9966736,2.0419617,-0.91593933
623,0.25204468,1.586029,-1.0309906
633,-0.36260986,1.3985443,-1.1098175
644,-0.9495697,0.8435364,-1.0395203
653,-1.4811401,0.22781372,-0.8456421
664,-1.7453308,-0.39535522,-0.57398987
673,-1.8081818,-0.6819153,-0.39183044
684,-1.9296112,-0.8374481,0.27075195
693,-1.939209,-0.39642334,0.6830139
703,-1.7570496,0.42808533,0.94932556
714,-1.2893982,1.0022736,1.0057983
723,-0.6970978,1.266449,0.93122864
734,-0.18577576,1.4656525,0.8641052
743,0.072021484,1.5764465,0.7746277
753,0.107177734,1.4944153,0.6819458
764,0.025146484,1.2281036,0.69898987
774,-0.16766357,0.694397,0.653183
783,-0.63105774,0.34179688,0.6254883
793,-1.1253357,0.20437622,0.6542511
804,-1.3085632,0.24485779,0.69259644
814,-1.1370544,0.33753967,0.6915436
823,-0.8014984,0.53567505,0.7032623
834,-0.46061707,0.7487335,0.8172455
843,-0.16447449,0.7157135,1.0537262
853,0.05923462,0.6549835,1.2763672
864,0.17108154,0.66244507,1.4042053
873,0.17854309,0.7103882,1.527771
884,0.22221375,0.725296,1.6758423
893,0.34152222,0.6198425,1.7141876
904,0.3873291,0.35139465,1.5852966
913,0.27441406,0.053115845,1.3828888
924,0.0070343018,-0.8576813,0.9322815
934,-0.10801697,-1.092041,0.58714294
943,-0.38391113,-1.3114929,-0.13937378
953,-0.7706146,-1.5319977,-0.66560364
964,-0.9975128,-1.7514496,-1.0629578
973,-1.1072388,-1.9517059,-1.4528351
983,-1.0454407,-2.28833,-1.6840057
994,-0.7354584,-2.22229,-1.9481812
1003,-0.14743042,-1.888855,-2.1623077
1014,0.9178314,-1.1208038,-2.296524
1023,1.2129211,-0.79377747,-2.2656403
1033,1.6198425,0.0051727295,-2.1015778
1044,1.7242432,0.901062,-1.897049
1053,1.5239716,1.4230499,-1.8288727
1063,0.9924011,1.2589874,-1.8640289
1074,0.6259613,0.854187,-1.9162292
1083,0.4853363,0.68588257,-1.9471283
1093,0.062423706,0.4504547,-1.9300842
1103,-0.40522766,0.3716278,-1.6989136
1113,-0.8963165,0.16923523,-1.388916
1124,-1.0987091,0.05418396,-1.2238007
1133,-1.384201,-0.32398987,-1.3260651
1144,-1.367157,-0.16526794,-1.27388
1153,-1.3756714,0.18200684,-1.3058319
1163,-1.6377258,0.63900757,-1.3356628
1174,-1.909378,1.0352936,-1.2472382
1183,-2.1586456,1.4358215,-0.99050903
1193,-1.3458557,1.0853577,-0.2512207
1203,-1.8103027,1.3250427,-0.2970276
1213,-0.95277405,0.19692993,-0.12338257
1223,-0.37219238,0.07015991,-0.091430664
1233,0.33087158,0.22355652,0.005508423
1244,0.94340515,0.28533936,0.06729126
1253,1.274704,0.2640381,0.11630249
1263,1.2757721,0.027542114,0.122680664
1274,1.021164,-0.30162048,0.12055969
1283,0.6344757,-0.64675903,0.09712219
1293,0.31915283,-0.81614685,0.1056366
1304,0.116760254,-0.7905731,0.11949158
1313,-0.038772583,-0.6403656,0.16955566
1323,-0.12185669,-0.45288086,0.25798035
1334,-0.20495605,-0.29203796,0.33148193
1343,-0.3189392,-0.17591858,0.38687134
1354,-0.44036865,-0.15567017,0.45292664
1363,-0.53944397,-0.20361328,0.557312
1373,-0.6001587,-0.2792511,0.6457367
1384,-0.6182709,-0.37191772,0.68515015
1393,-0.5713959,-0.4230652,0.6681061
1403,-0.45422363,-0.3772583,0.61376953
1414,-0.24223328,-0.25048828,0.54559326
1423,0.027282715,-0.108810425,0.46676636
1434,0.29785156,0.02861023,0.41137695
1443,0.47042847,0.13087463,0.36769104
1453,0.5045166,0.15112305,0.3336029
1464,0.42141724,0.0967865,0.29100037
1473,0.24458313,0.024353027,0.27609253
1483,0.029403687,-0.057678223,0.28353882
1494,-0.13996887,-0.14289856,0.29525757
1503,-0.23478699,-0.1897583,0.33148193
1514,-0.22944641,-0.2004242,0.36450195
1523,-0.16127014,-0.17166138,0.36024475
1534,-0.010009766,-0.12690735,0.32615662
1543,0.2062378,-0.08644104,0.2515869
1553,0.37348938,-0.050216675,0.16316223
1564,0.42462158,-0.022521973,0.082214355
1573,0.3788147,0.00730896,0.02255249
1584,0.210495,-0.045959473,0.025741577
1593,-0.127182,-0.23556519,0.04385376
1604,-0.5202637,-0.35168457,0.016159058
1613,-0.7769928,-0.38363647,0.014038086
1624,-0.86221313,-0.3772583,0.07687378
1633,-0.7961731,-0.3527527,0.17062378
1644,-0.5447693,-0.3346405,0.2313385
1653,-0.25076294,-0.19403076,0.2505188
1663,-0.025985718,-0.11520386,0.19299316
1674,0.13487244,-0.0874939,0.080078125
1683,0.22116089,-0.081100464,-0.030715942
1693,0.21476746,-0.07044983,-0.12019348
1703,0.12634277,-0.03956604,-0.17451477
1714,-0.0068206787,0.0051727295,-0.19689941
1724,-0.09841919,0.02861023,-0.18623352
1733,-0.10801697,0.00730896,-0.12765503
1743,-0.0398407,-0.06512451,-0.11805725
1754,0.11355591,-0.11946106,-0.13510132
1763,0.23286438,-0.09602356,-0.11061096
1774,0.22753906,0.017959595,-0.079711914
1783,0.116760254,0.10424805,-0.042434692
1794,0.019821167,0.10531616,0.006576538
1803,-0.045166016,0.060577393,0.044921875
1813,-0.10481262,0.024353027,0.060897827
1824,-0.13571167,0.06163025,0.070495605
1833,-0.064331055,0.27682495,0.08326721
1844,0.11250305,0.1947937,0.04385376
1853,0.23606873,0.086135864,-0.034973145
1863,0.3319397,0.060577393,-0.12232971
1874,0.3745575,0.07548523,-0.16067505
1883,0.2626953,0.05204773,-0.16493225
1893,0.06562805,-0.04168701,-0.1723938
1903,-0.101623535,-0.16419983,-0.17346191
1914,-0.23371887,-0.24302673,-0.13616943
1923,-0.25076294,-0.2366333,-0.12232971
1933,-0.23904419,-0.1812439,-0.095687866
1944,-0.13038635,-0.045959473,-0.056274414
1953,-0.09736633,-0.0033416748,-0.040298462
1963,-0.052612305,0.012634277,-8.8500977E-4
1974,-0.062210083,-0.08963013,0.005508423
1984,-0.061141968,-0.2323761,0.0119018555
1993,-0.036636353,-0.3346405,0.018295288
2003,-0.0014801025,-0.37191772,0.019363403
2013,0.052841187,-0.35914612,0.0076446533
2024,0.11143494,-0.29309082,-0.015792847
2033,0.16789246,-0.20147705,-0.044555664
2044,0.19345093,-0.08430481,-0.067993164
2053,0.21688843,0.12236023,-0.095687866
2063,0.175354,0.14152527,-0.09461975
2073,0.08799744,0.05418396,-0.08929443
2084,0.0496521,-0.07684326,-0.081848145
2093,0.008102417,-0.17166138,-0.067993164
