Milliseconds,X,Y,Z
1,0.23376037,4.598884,8.658292
22,0.27000546,4.592242,8.660763
41,0.27946496,4.544144,8.685796
61,0.271579,4.4904585,8.713922
81,0.27414194,4.4432197,8.738023
101,0.29881537,4.413601,8.752213
121,0.3329317,4.406146,8.754737
141,0.36113343,4.415137,8.749087
161,0.3781454,4.4313955,8.740145
181,0.3736884,4.4473743,8.732217
202,0.36395115,4.465156,8.723549
221,0.3651597,4.493581,8.708891
242,0.3768293,4.52926,8.68989
261,0.38922936,4.5591574,8.673695
282,0.40683982,4.574631,8.664735
302,0.4250423,4.593544,8.653848
321,0.4332788,4.616593,8.641165
341,0.4407517,4.6294045,8.633929
361,0.4448051,4.6247945,8.636192
382,0.464735,4.634654,8.629854
402,0.50172,4.6628757,8.612563
421,0.5536039,4.6997523,8.589309
441,0.5905604,4.7338057,8.568122
461,0.6018395,4.7254095,8.57197
481,0.58941317,4.695712,8.589137
502,0.5682934,4.6491175,8.615865
521,0.57205546,4.645629,8.617497
541,0.625487,4.7139773,8.5765705
561,0.7072351,4.8495245,8.494252
582,0.76105297,4.939853,8.43736
602,0.7943238,4.9802465,8.410504
621,0.7933851,4.9666357,8.418638
641,0.7666894,4.9221754,8.447175
662,0.7337911,4.8757377,8.476976
681,0.7004036,4.8426867,8.498719
701,0.68333423,4.8293576,8.507687
721,0.686334,4.82291,8.511103
742,0.69543046,4.8163137,8.514099
761,0.6849409,4.797661,8.525473
781,0.6692583,4.779012,8.537186
803,0.66515857,4.778835,8.537604
821,0.6679872,4.797287,8.527029
842,0.6781382,4.8082423,8.520054
861,0.6758745,4.80386,8.522705
882,0.65226376,4.781782,8.536948
901,0.61376196,4.751724,8.556565
921,0.5993393,4.7334814,8.567691
941,0.6453349,4.7547646,8.552553
962,0.70734936,4.8027654,8.520768
981,0.7949427,4.9171534,8.447488
1002,0.82612556,5.004142,8.39324
1021,0.8457345,5.052492,8.362263
1041,0.90443236,5.0285134,8.370569
1062,0.9202628,4.9753675,8.40055
1081,0.9575771,4.9169893,8.4306965
1101,1.0098637,4.863354,8.455668
1122,1.0361526,4.810854,8.48248
1141,1.0372399,4.7477884,8.517806
1161,1.0305394,4.670796,8.561077
1181,1.0412046,4.5980926,8.59906
1202,1.0862442,4.54311,8.62268
1221,1.1415695,4.5177727,8.628843
1242,1.2301422,4.5005994,8.625644
1261,1.3374746,4.475696,8.622627
1281,1.6019611,4.441236,8.595321
1302,2.0829632,4.4740443,8.474349
1321,2.4444797,4.5158224,8.354774
1341,2.9871,4.5659614,8.148596
1361,3.7823155,4.591148,7.7965274
1381,4.5368824,4.6845183,7.324096
1402,5.290502,4.8367944,6.692264
1421,5.894914,4.8679104,6.141972
1441,6.343273,4.6333117,5.870748
1461,6.750579,4.2593274,5.6972103
1482,7.204777,3.8117301,5.452733
1501,7.7343907,3.340411,5.0190873
1521,8.313335,2.9227743,4.30305
1542,8.821005,2.6057703,3.401504
1561,9.161953,2.3997808,2.5436313
1581,9.379705,2.1334217,1.907886
1602,9.536913,1.7585647,1.4577814
1621,9.6537695,1.3968726,1.0118699
1641,9.737043,1.0494281,0.50899106
1661,9.7802925,0.71844804,-0.009836781
1682,9.786833,0.43149835,-0.4495574
1701,9.7694645,0.20446491,-0.8283376
1721,9.7404785,0.03000545,-1.1369163
1741,9.711503,-0.105718866,-1.3586488
1762,9.689179,-0.20717217,-1.4990861
1781,9.658026,-0.29518914,-1.6750485
1801,9.591003,-0.42182064,-2.0012765
1822,9.477797,-0.5501218,-2.4574661
1841,9.313462,-0.63361436,-3.004717
1861,9.1727295,-0.7191076,-3.3932712
1882,9.122889,-0.79102576,-3.5096428
1901,9.123183,-0.81949973,-3.5023334
1921,9.137982,-0.7786508,-3.4729464
1942,9.144677,-0.64895976,-3.4819694
1961,9.170352,-0.46018022,-3.4443111
1981,9.250563,-0.23426105,-3.2469373
2002,9.39613,0.124211974,-2.804945
2021,9.471203,0.37277156,-2.515501
2041,9.531124,0.7024997,-2.1987596
2061,9.536923,1.0048666,-2.0512705
2082,9.5019045,1.27997,-2.0605516
2101,9.48096,1.3576297,-2.1068037
2121,9.443803,1.3810095,-2.2533953
2141,9.388007,1.3420074,-2.4969451
2161,9.299467,1.2004819,-2.872132
2182,9.228693,1.0062803,-3.1605408
2201,9.138809,0.7690602,-3.4729075
2221,9.029164,0.5293927,-3.7900279
2241,8.914884,0.33968964,-4.0718355
2262,8.843108,0.24214192,-4.2321606
2281,8.85862,0.2140055,-4.2011237
2301,8.935074,0.24231042,-4.0343695
2322,9.006137,0.29616416,-3.8693907
2341,9.0471735,0.3419571,-3.768567
2361,9.04138,0.35872915,-3.780893
2381,9.02725,0.31820157,-3.8181
2402,9.001536,0.24084997,-3.8839045
2421,8.9585905,0.17853983,-3.985243
2441,8.936743,0.13246071,-4.0357738
2462,8.941179,0.11475487,-4.02648
2481,8.934757,0.12315141,-4.0404625
2501,8.912409,0.14366172,-4.088854
