Milliseconds,X,Y,Z
2,0.2492981,4.6684113,8.347076
22,0.32951355,4.679184,8.788818
41,0.23852539,4.6779785,8.702621
61,0.21458435,4.746216,8.679871
81,0.30197144,4.7498016,8.563751
101,0.33309937,4.7246704,8.276459
122,0.26127625,4.7330475,8.400955
141,0.25169373,4.7126923,8.483551
162,0.29838562,4.734253,8.288422
181,0.335495,4.6935425,8.369827
201,0.3103485,4.6815796,8.484756
222,0.4336548,4.639679,8.503906
241,0.30436707,4.6217194,8.385391
262,0.2205658,4.6384735,8.189072
281,0.19184875,4.640869,8.335114
302,0.42288208,4.7210846,8.257294
322,0.28401184,4.66481,8.3004
341,0.2780304,4.648056,8.349472
361,0.2205658,4.6767883,8.193848
381,0.39414978,4.6420746,8.113647
402,0.1116333,4.541519,8.738541
421,0.13917542,4.5163727,8.945633
441,0.21458435,4.6348877,8.758881
461,0.17028809,4.7450256,7.961624
481,0.17149353,4.7725525,7.9628143
501,0.32112122,4.6336975,8.67749
522,0.3570404,4.675583,8.890564
541,0.4336548,4.648056,8.339905
561,0.29119873,4.6348877,8.195053
582,0.2888031,4.680374,8.713394
601,0.42048645,4.694748,8.560165
621,0.24450684,4.7079163,8.171112
642,0.103256226,4.6660156,8.122025
661,0.23493958,4.7174835,8.412918
681,0.29838562,4.7294617,8.57692
702,0.23493958,4.6851654,8.499115
721,0.17028809,4.719879,8.52066
742,0.41329956,4.7091064,8.417709
761,0.23852539,4.694748,8.394974
782,-0.009277344,4.706711,8.367432
801,0.07572937,4.6935425,8.215408
821,0.29119873,4.6217194,8.451233
842,0.120010376,4.6109467,8.42131
861,0.23014832,4.691147,8.234558
881,0.3642273,4.6684113,8.402145
902,0.22296143,4.572632,8.85466
921,0.25289917,4.5032043,8.558975
941,0.32232666,4.546295,8.550598
962,0.44203186,4.4756775,9.283218
981,0.375,4.5546875,9.274841
1001,0.23014832,4.651642,9.214981
1021,0.5617523,4.719879,9.147949
1042,0.8263092,4.917404,8.706207
1061,0.7868042,4.893463,8.136398
