Milliseconds,X,Y,Z
1,-0.034249455,-0.041224003,0.020234108
20,0.035469413,0.003083229,0.43672848
42,-0.017213017,0.0026988983,0.29665756
60,-0.073908746,0.08326721,0.31648636
81,0.009587735,0.08298588,0.2010498
100,0.03141278,0.05088377,-0.08240223
120,-0.047843635,0.05946827,0.04220295
140,-0.05002761,0.04221058,0.12208748
160,0.0041496456,0.06535721,-0.074272156
181,0.0385423,0.029931545,0.0050354004
200,0.01345849,0.02268076,0.11398125
221,0.13558039,-0.019908905,0.12900639
240,3.620088E-4,-0.04211378,0.011876106
261,-0.08475405,-0.028247833,-0.17739391
280,-0.10224089,-0.02429676,-0.02793789
300,0.10162485,0.048024178,-0.117741585
320,0.015331298,0.011472702,-0.10364437
341,-0.01678273,-0.027944565,-0.0026788712
360,-0.073533565,-0.0033540726,-0.1536932
380,0.09415835,-0.035152435,-0.2279501
400,-0.14699012,-0.102359295,0.30445576
421,-0.08324656,-0.108845234,0.5847006
440,-0.06867799,-0.023612976,0.38463688
460,-0.11105415,0.06844187,-0.40239906
480,-0.1261507,0.108849525,-0.5204277
501,0.031303316,-0.032263756,0.31054115
520,0.077480406,0.012830257,0.5820856
540,0.14085445,-0.0213871,-0.028285027
561,0.004671037,-0.050953865,-0.29000473
580,-0.0062588155,0.022833824,0.28582287
600,0.13759726,0.02520895,0.19112015
621,-0.03984967,0.02580452,-0.1905098
640,-0.18342897,-0.020595074,-0.23612213
660,-0.046286225,0.036117554,0.052134514
680,0.026443362,0.053608418,0.2117424
701,-0.029812485,0.0104346275,0.13216782
720,-0.09296599,0.04251194,0.1545105
740,0.1456691,0.02630186,0.054135323
760,-0.025355667,0.008653164,0.032894135
781,-0.25242722,0.015930176,0.0056095123
800,-0.15075739,-0.0031933784,-0.13908768
820,0.060580388,-0.07655525,0.09935856
841,-0.11166683,-0.08840227,0.0670805
860,0.005328983,-0.013144016,-0.11526871
880,0.13985986,-0.03549719,0.055586815
901,0.006674677,-0.12640667,0.49382877
920,0.050508514,-0.20056772,0.19184494
940,0.13612512,-0.16630173,0.187603
961,0.27882785,-0.2484498,0.91854954
980,0.23927702,-0.20360756,0.92492867
1000,0.10960193,-0.15755129,0.8899689
1021,0.43168503,-0.14714098,0.852746
1040,0.68679917,-0.0079574585,0.4430542
1060,0.65585,-0.07370806,-0.1025486
1081,0.18995687,-0.034609318,-0.57512665
1100,-0.15292579,-0.070504665,-0.5602865
1120,0.0484944,-0.15393496,0.34959984
1140,0.09744595,-0.27693892,1.0435886
1161,-0.099784434,-0.30631924,1.3407135
1180,0.016506732,-0.3126936,0.6174755
1200,0.119402975,-0.23269701,0.25201797
1221,0.2757765,-0.44703913,0.5549469
1240,0.41427863,-0.49986172,1.2672911
1260,0.7581346,-0.76061964,1.7250032
1281,0.9806776,-0.81828785,1.523241
1300,1.4201472,-0.90086794,1.3545456
1320,1.346806,-0.8182254,0.30291653
