Milliseconds,X,Y,Z,cos,headingAccuracy
2,0.30973458,-0.410447,-0.72905535,0.45174778,0.17453292
20,0.3086348,-0.4110355,-0.7292625,0.45163107,0.17453292
40,0.30734962,-0.41095003,-0.72946644,0.4522555,0.17453292
60,0.3063284,-0.41108492,-0.72982997,0.45223927,0.17453292
81,0.3060717,-0.4113964,-0.7300259,0.45181337,0.17453292
100,0.3065389,-0.41173586,-0.72995013,0.4513095,0.17453292
120,0.30776313,-0.4124155,-0.72929895,0.45090836,0.17453292
141,0.30927733,-0.41315448,-0.7285702,0.45037356,0.17453292
160,0.3106893,-0.41334683,-0.72830737,0.44964978,0.17453292
180,0.31177562,-0.41314757,-0.7283892,0.44894788,0.17453292
201,0.3128621,-0.41293007,-0.72840816,0.44836104,0.17453292
220,0.3137518,-0.4125835,-0.7286113,0.44772786,0.17453292
240,0.31441605,-0.41195968,-0.7290007,0.4472022,0.17453292
261,0.31497258,-0.41133714,-0.72935355,0.44680804,0.17453292
280,0.3150457,-0.41093716,-0.7299694,0.44611832,0.17453292
300,0.31434625,-0.41074297,-0.730909,0.44525132,0.17453292
320,0.31365103,-0.41031092,-0.7316552,0.44491425,0.17453292
341,0.31357807,-0.40985405,-0.73192585,0.44494155,0.17453292
361,0.31471178,-0.40905908,-0.73171586,0.44521797,0.17453292
380,0.31567702,-0.40812048,-0.73158026,0.44561866,0.17453292
400,0.3158266,-0.40698713,-0.73181415,0.44616485,0.17453292
421,0.31613138,-0.40566325,-0.73184067,0.44711015,0.17453292
440,0.3168609,-0.40430126,-0.73180586,0.44788373,0.17453292
460,0.31933776,-0.40329975,-0.7306996,0.44883275,0.17453292
480,0.3216588,-0.40142387,-0.72998595,0.4500167,0.17453292
501,0.32305536,-0.39912248,-0.7299467,0.45112562,0.17453292
520,0.32340226,-0.3967874,-0.7303646,0.45225906,0.17453292
540,0.32368952,-0.39471808,-0.73079336,0.45317084,0.17453292
561,0.324296,-0.3928327,-0.7310349,0.45398524,0.17453292
580,0.325331,-0.39089325,-0.7311196,0.45478168,0.17453292
600,0.32634455,-0.3885012,-0.73123443,0.45591915,0.17453292
621,0.3268988,-0.3858151,-0.7315155,0.45734987,0.17453292
640,0.32716736,-0.3830363,-0.73183274,0.4589832,0.17453292
660,0.3273973,-0.379937,-0.7322028,0.4608014,0.17453292
681,0.3279237,-0.37501335,-0.73291373,0.46332335,0.17453292
700,0.32811424,-0.37179062,-0.73357517,0.4647367,0.17453292
720,0.3280981,-0.36814687,-0.73448044,0.46621674,0.17453292
740,0.3275757,-0.36636648,-0.73562557,0.46618107,0.17453292
761,0.32700765,-0.3660253,-0.7370991,0.46451733,0.17453292
780,0.32714388,-0.36450776,-0.73822963,0.4638189,0.17453292
