Milliseconds,X,Y,Z
3,0.1829834,-0.20974731,-0.012069702
21,-0.00982666,-0.27153015,-0.07385254
42,-0.039657593,-0.10108948,-0.08557129
61,0.06581116,0.16416931,-0.07598877
81,0.13291931,0.12261963,-0.08982849
102,0.03277588,-0.3887024,-0.10687256
121,0.014678955,-0.56448364,-0.15055847
141,0.27566528,-0.19909668,-0.1377716
161,0.6602173,0.2611084,-0.09196472
181,0.87327576,0.4507141,-0.055740356
204,0.82533264,0.449646,-0.008865356
222,0.6474457,0.39639282,0.053985596
243,0.32998657,0.25364685,0.098724365
261,-0.034332275,0.1204834,0.22654724
282,-0.34005737,0.14712524,0.3096466
301,-0.5477905,0.32928467,0.32348633
321,-0.5605774,0.42515564,0.25958252
341,-0.26869202,0.27708435,0.2073822
362,0.14889526,-0.012664795,0.2308197
381,0.43225098,-0.3620758,0.2073822
401,0.57180786,-0.26620483,0.0816803
421,0.58032227,0.2419281,0.00390625
442,0.44078064,0.67655945,-0.030181885
462,0.1552887,0.37295532,-0.041900635
481,-0.5680237,-0.57832336,-0.112197876
502,-0.7874756,-0.9149475,-0.07385254
521,-0.45510864,-0.6262665,0.0060424805
541,0.27352905,0.09597778,0.025222778
561,0.59950256,0.4453888,0.033737183
582,0.31721497,0.12901306,0.046524048
601,-0.06309509,-0.32798767,0.046524048
621,-0.24951172,-0.55488586,0.0901947
642,-0.14724731,-0.3109436,0.08380127
661,0.09030151,0.038467407,0.047592163
682,0.54411316,0.320755,-0.08024597
701,0.5579529,0.16949463,-0.11752319
721,0.33425903,-0.052093506,-0.09942627
744,0.07965088,-0.104278564,-0.096221924
762,-0.08013916,-0.12239075,-0.12498474
781,-0.22607422,-0.10534668,-0.05999756
801,-0.38053894,-0.15115356,-0.021652222
822,-0.39439392,-0.18630981,-0.074920654
841,-0.21328735,-0.09362793,-0.13456726
861,0.14782715,0.14498901,-0.19102478
882,0.27246094,0.14712524,-0.14416504
901,0.059417725,0.050186157,-0.077041626
921,-0.37202454,-0.26939392,-0.020584106
942,-0.7597809,-0.4590149,-0.034439087
961,-0.98135376,-0.44622803,-0.05255127
981,-1.0410004,-0.25767517,-0.025909424
1001,-0.87802124,-0.1852417,0.07847595
1022,-0.11741638,0.114089966,0.21270752
1041,1.0437164,0.56469727,0.38633728
1061,1.7286835,0.4272766,0.45025635
1081,1.2493134,-0.24916077,0.24253845
1102,-0.17707825,-0.58792114,0.1285553
1121,-1.2402039,-0.42173767,0.17115784
1141,-1.6119843,-0.31840515,0.23719788
1162,-1.5374146,-0.31307983,0.21482849
1181,-0.98986816,-0.21826172,0.11256409
1201,-0.21116638,-0.32159424,0.0017852783
1221,0.6474457,-0.23425293,-0.023788452
1242,1.3451843,0.015029907,0.1413269
1261,1.6956635,0.23446655,0.24572754
1281,1.546524,0.53593445,0.33840942
1301,1.0554352,0.74580383,0.33094788
1322,-0.188797,0.09385681,-0.077041626
1341,-1.2615204,-0.42066956,-0.24429321
1362,-2.5334473,-1.0917816,-0.055740356
1381,-2.2000122,-0.7093506,0.0625
1401,-0.35284424,0.36549377,-0.034439087
1422,1.6061707,0.9428711,-0.11647034
1441,2.4477386,0.7884064,-0.05467224
1461,2.2762299,0.6456604,0.14025879
1481,1.3856659,0.42834473,0.33947754
1502,0.19789124,0.34100342,0.23294067
1521,-1.096405,0.27601624,-0.12284851
1541,-2.5813751,-0.37379456,-0.29756165
1561,-3.2237244,-0.38337708,-0.26879883
1581,-2.179779,0.15563965,-0.49143982
1601,-0.14299011,0.8203583,-0.5127411
1622,1.6061707,0.9300842,-0.42219543
1641,2.3220367,0.5423279,-0.28903198
1661,1.9364166,0.032073975,-0.05999756
1682,0.6197357,-0.67633057,0.18287659
1701,-0.91104126,-1.1791382,0.14878845
1721,-1.7707062,-0.9895172,-0.046157837
1741,-1.5811005,-0.33970642,-0.20381165
1762,-0.7416687,0.0693512,-0.24642944
1781,-0.095047,-0.15222168,-0.2624054
1801,-0.081207275,-0.506958,-0.23257446
1821,-0.45936584,-0.72639465,-0.39875793
1842,-1.0452728,-0.85635376,-0.45947266
1861,-1.1400757,-0.09576416,-0.26454163
1881,-0.55630493,1.0728302,-0.05999756
1901,0.03491211,1.5234375,0.06036377
1922,0.057281494,0.99186707,-0.037628174
1941,-0.36669922,-0.39190674,-0.31140137
1961,-0.9707031,-1.254776,-0.32739258
1982,-1.4298248,-0.9863281,-0.25708008
2001,-1.5981445,-0.3098755,-0.107940674
2021,-1.4447327,-0.13731384,-0.013137817
2041,-1.0442047,-0.668869,0.29899597
2062,-0.6447296,-0.76475525,-0.01953125
2081,0.011474609,0.5860138,-0.05680847
2101,0.8050995,0.9205017,-0.18037415
2122,0.9542389,0.21635437,-0.70236206
2141,0.4152069,-0.66993713,-0.82699585
2161,-1.1336823,-2.8569336,-0.5159302
2181,-2.4929657,-3.6090088,0.42895508
2202,-1.9028015,-3.4332428,0.77090454
2221,-0.43806458,-2.8750305,0.28300476
2241,1.9566498,-2.9091187,0.31604004
