Milliseconds,X,Y,Z
0,0.009689331,-0.27304077,-0.08041382
21,-0.17034912,-0.33694458,-0.03353882
42,-0.3503723,-0.11325073,0.050613403
60,-0.1884613,0.050811768,0.013336182
80,0.13218689,0.089157104,-0.118759155
100,0.13964844,0.0071258545,-0.14859009
120,-0.06808472,0.00819397,-0.046325684
140,-0.1490326,0.04121399,-0.005844116
160,-0.059555054,0.087020874,0.006942749
181,0.056549072,0.026306152,-0.03781128
200,0.074661255,-0.119644165,-0.018630981
220,0.0032958984,-0.18461609,0.026107788
240,-0.11282349,-0.15052795,0.019714355
261,-0.18206787,-0.019500732,-0.031417847
280,-0.18632507,0.1711731,-0.0708313
300,-0.033996582,0.25106812,-0.022888184
320,0.2674713,0.015655518,-0.06655884
341,0.32606506,-0.14945984,-0.07827759
360,0.123672485,-0.1430664,-0.029281616
380,-0.087249756,-0.0834198,0.07084656
401,-0.19378662,0.05506897,0.13369751
420,-0.17567444,0.18502808,0.13796997
441,-0.061691284,0.32563782,0.10067749
460,0.08425903,0.3160553,0.06340027
481,0.2312622,0.12536621,0.005874634
500,0.31861877,-0.23895264,-0.076156616
520,0.10769653,-0.343338,-0.14007568
540,-0.15649414,-0.23149109,-0.097457886
561,-0.30456543,-0.0013885498,0.013336182
580,-0.15223694,0.042282104,-0.0037231445
600,-0.0009613037,-0.0003356934,-0.055908203
620,0.1013031,-0.103652954,-0.07827759
641,0.11302185,-0.23042297,-0.07722473
660,0.016082764,-0.2645111,-0.016494751
680,-0.05529785,-0.16757202,0.060195923
701,0.0032958984,0.016723633,0.09535217
720,0.11407471,0.08276367,0.028244019
740,0.12260437,-0.04826355,0.09321594
761,-0.0712738,0.0060577393,0.13050842
780,-0.26301575,0.124313354,0.11985779
800,-0.17460632,0.2180481,0.047424316
821,0.111953735,0.2883606,-0.062301636
840,0.30262756,0.16479492,-0.005844116
860,0.27600098,-0.012039185,0.037826538
881,-0.040390015,0.005004883,0.13264465
900,-0.13838196,0.04121399,0.10281372
920,-0.040390015,0.04121399,0.050613403
940,0.021408081,0.06997681,0.07511902
961,-0.0947113,0.24894714,0.068725586
980,-0.13093567,0.42790222,-0.0026550293
1000,0.0075531006,0.4098053,-0.023956299
1021,0.14283752,0.30326843,-0.064437866
1040,0.15882874,0.0039367676,-0.05378723
1061,0.078933716,-0.17715454,-0.10171509
1080,-0.020141602,-0.2325592,-0.0942688
1100,-0.029724121,-0.17715454,-0.111312866
1121,-0.075531006,-0.1430664,-0.050582886
1140,-0.24810791,0.20632935,-0.017562866
1161,-0.31095886,0.50460815,0.06552124
1180,-0.014816284,0.31819153,0.0037384033
1200,0.35375977,-0.23149109,-0.12940979
1221,0.09597778,-0.25172424,-0.15711975
1240,-0.15969849,-0.07702637,-0.08999634
1261,-0.17353821,0.20314026,-0.09320068
1280,-0.045715332,0.13496399,0.045288086
1301,0.0075531006,-0.07702637,0.0463562
1320,0.09063721,-0.1430664,0.09428406
1340,0.14816284,-0.09088135,0.06340027
1360,0.13218689,-0.042938232,0.03463745
1381,0.07359314,-0.084487915,0.049545288
1400,-0.049972534,-0.0035247803,0.017593384
1420,-0.122406006,0.07104492,0.04208374
1440,0.07998657,-0.02696228,0.027175903
1461,0.1289978,-0.0834198,0.045288086
1480,-0.03718567,-0.09088135,0.076171875
1500,-0.05529785,-0.094070435,0.022918701
1521,0.012878418,-0.134552,0.010131836
1540,-0.00630188,-0.16757202,0.010131836
1560,-0.087249756,-0.07383728,-0.06869507
1581,-0.16075134,0.10620117,-0.04206848
1600,-0.13945007,0.2457428,-0.012237549
1620,0.0309906,0.056137085,0.029312134
1640,0.11621094,-0.18675232,0.05168152
1661,0.076797485,-0.24427795,0.08363342
1680,0.001159668,-0.29541016,0.101745605
1701,-0.25343323,-0.13562012,-0.07295227
1720,-0.6380005,0.10832214,0.15501404
1740,-0.37806702,0.43110657,0.16140747
1761,0.3324585,0.13282776,-0.0005187988
1780,0.41342163,-0.035476685,-0.10171509
1800,-0.24597168,0.058258057,-0.09638977
1821,-0.553833,0.12963867,0.0005493164
1840,-0.33013916,-0.0599823,0.017593384
1861,-0.016952515,-0.1111145,-0.26257324
1880,0.07572937,-0.016311646,-0.39360046
1900,0.08425903,-0.06317139,-0.2242279
1920,0.10874939,-0.11004639,-0.10385132
1941,-0.03718567,-0.14945984,-0.0037231445
1960,-0.3695526,0.1402893,0.013336182
1981,-0.49525452,0.60261536,0.061264038
2000,-0.32800293,0.6654663,0.22105408
2020,0.22805786,0.33416748,0.3211975
2041,0.7276764,0.018844604,0.26046753
2060,0.7564392,0.04335022,0.18589783
2080,0.22167969,0.21485901,0.43943787
2100,0.001159668,0.5397644,0.48524475
2121,0.42193604,0.40020752,0.3840332
2140,0.7894592,0.028427124,0.19442749
2160,0.19929504,0.011383057,0.3787079
2181,-0.73387146,-0.4637146,0.81121826
2200,-0.5858002,-0.105789185,0.7281189
2220,0.111953735,-0.047195435,0.04208374
2240,0.46562195,-0.4402771,0.27218628
2261,0.37080383,-0.44241333,0.3488922
2280,0.049102783,-0.4552002,0.5342407
2300,-0.20230103,-0.2400055,0.53105164
2321,-0.169281,-0.3348236,0.29455566
2340,-0.054229736,-0.26664734,0.31692505
2360,-0.030792236,-0.134552,0.010131836
2381,-0.20655823,-0.032287598,0.23490906
2400,-0.36102295,0.07850647,0.37338257
2420,-0.43240356,0.24787903,0.36061096
2440,-0.48779297,0.15519714,0.32331848
2461,-0.4441223,-0.041870117,0.27964783
2480,-0.10749817,-0.022705078,0.17524719
2501,0.11514282,0.012451172,0.2306366
2520,0.04057312,-0.181427,0.14222717
2540,-0.21295166,-0.32203674,0.14009094
2560,-0.4164276,-0.34440613,0.23596191
2581,-0.15330505,0.5759735,0.0697937
2600,0.09277344,0.5376282,-0.27748108
2620,0.40916443,0.10406494,-0.087875366
2641,0.5103607,-0.51698303,0.15820312
2660,0.5327301,-0.88983154,0.11027527
2680,0.28025818,-0.49247742,0.0016174316
2701,-0.24064636,0.15412903,-0.1539154
2720,-0.12773132,0.6239166,-0.06976318
2740,0.2674713,0.599411,0.55448914
2760,0.56681824,0.50035095,0.26686096
2786,0.6829376,-0.26983643,0.35740662
2800,0.66589355,-0.59262085,0.5651398
2821,0.27067566,-0.82058716,0.74942017
2840,-0.36315918,-0.42111206,0.4767151
2860,-0.7253418,0.50035095,0.29348755
2880,-0.60816956,0.58769226,0.858078
2900,-0.5495758,-0.3145752,0.858078
2921,-0.23532104,-1.0655975,0.46499634
2942,0.055496216,-0.9281769,0.049545288
2960,0.4624176,0.3938141,-0.10491943
2980,0.52207947,0.43536377,0.03463745
3001,0.49224854,-0.033355713,0.04421997
3020,0.67015076,0.50886536,-0.18907166
3040,1.1165009,0.5205841,-0.4244995
3060,0.84591675,0.43322754,-0.40745544
3081,0.14816284,1.2332458,-0.3062439
3100,-0.45263672,1.7083588,-0.38294983
3120,-1.1450653,1.6550903,-0.06336975
3140,-1.9173737,1.1032867,0.32757568
3160,-1.9376221,0.9722595,0.51187134
3180,-1.2441254,0.67930603,0.4500885
3200,-0.837204,-0.24320984,0.07084656
3221,-1.0321503,-0.62564087,-0.39785767
3240,-1.2334747,-0.3305664,-0.85806274
3260,-1.2420044,-1.0038147,-0.9336853
3281,-0.6092377,-1.264801,-0.8772278
3300,-0.17353821,-0.028030396,-0.8101196
3320,0.19717407,0.77412415,-0.8527374
3340,0.8565674,0.92645264,-0.5587158
3361,1.56604,0.77305603,0.35740662
3380,1.2208862,-0.741745,0.7110748
3401,0.35908508,-1.1657257,0.4692688
3420,-0.17353821,-1.4331055,0.46073914
3440,-0.23320007,-1.552414,0.5417023
3460,-0.020141602,-1.5982208,0.3531494
3481,-0.2704773,-1.264801,0.02078247
3501,-0.20976257,-0.34014893,0.11239624
3520,-0.38339233,-0.310318,0.30947876
3540,-0.5964508,-0.6298981,0.46606445
3560,0.9375305,-0.77264404,-0.22955322
3581,0.051223755,-0.62031555,-0.16777039
3600,0.18545532,-0.06637573,-0.39360046
3620,0.23551941,0.61112976,-0.39785767
3640,0.018203735,0.6367035,-0.16563416
3660,0.010757446,-0.08660889,-0.20718384
3681,0.49118042,-0.8578644,0.32757568
3701,2.3511353,0.16159058,0.0079956055
3720,-0.24385071,-1.4927673,0.8037567
3740,0.87254333,-0.30392456,0.40641785
3761,0.39317322,-0.8323059,0.39682007
3780,-0.3269348,1.3845215,0.250885
3800,-0.5825958,0.8135376,0.42878723
3821,-0.12454224,0.65693665,0.15501404
3840,0.24404907,1.4707947,-0.06869507
3860,-0.5027008,3.9699097,0.16885376
3880,-2.6886292,2.1962433,0.037826538
3901,0.29304504,-1.5321808,0.16885376
3920,0.39105225,0.34375,0.66526794
3940,1.4318085,3.4553833,0.5289154
3961,-0.16821289,-1.0272369,0.13369751
3980,-0.018005371,2.0556335,-0.027145386
4000,0.026733398,0.29154968,0.27111816
4020,-0.013748169,-0.5425415,0.4309082
4041,0.17692566,0.10194397,0.08895874
4060,0.16841125,0.22869873,-0.51716614
4080,-0.122406006,0.054000854,-1.4183807
4100,0.19929504,0.07104492,-1.8285065
4121,-0.10536194,0.032699585,-0.9901581
4140,-0.047836304,-0.0077819824,0.03250122
4161,-0.0041656494,0.0028686523,0.05380249
4180,-0.122406006,0.018844604,0.080444336
4200,0.010757446,-0.025894165,0.076171875
4220,0.08531189,-0.082351685,0.09535217
4241,0.17160034,-0.14840698,0.043151855
4260,-0.024398804,0.00819397,0.049545288
4281,-0.0052337646,-0.052520752,0.037826538
4300,-0.024398804,-0.07595825,0.009063721
4321,0.026733398,0.12536621,0.041030884
4340,-0.11708069,0.08169556,0.07191467
4360,0.12792969,-0.19847107,0.029312134
4380,-0.23213196,0.2137909,0.037826538
4401,-0.096847534,0.058258057,0.050613403
4420,-0.0393219,-0.117507935,0.017593384
4440,-0.10429382,0.13389587,0.03996277
4460,0.0821228,-0.05039978,0.035705566
4480,-0.15010071,0.016723633,0.031433105
4501,0.04057312,-0.20805359,0.031433105
4520,0.041641235,-0.117507935,0.048477173
4540,-0.1724701,0.19674683,0.047424316
4560,0.14816284,-0.12922668,0.060195923
4581,-0.12986755,-0.06956482,0.012268066
4600,0.07359314,0.042282104,0.03996277
4620,-0.10536194,0.14668274,0.045288086
4640,0.06933594,0.00819397,0.057006836
4661,-0.06062317,0.0071258545,0.027175903
4680,0.036315918,0.06251526,0.03250122
4701,-0.09364319,0.079559326,0.057006836
4720,0.06188965,-0.12496948,0.036758423
