Milliseconds,X,Y,Z
1,-0.10472107,0.18359375,-0.04650879
22,-0.023757935,-0.03479004,-0.05290222
41,0.027374268,-0.12854004,-0.07740784
61,-0.14518738,-0.11468506,-0.18286133
81,-0.521225,-0.27233887,-0.16049194
102,-0.5180359,-0.31495667,-0.13812256
122,-0.4242859,-0.5908661,-0.1722107
141,-0.3965912,-0.74638367,-0.18392944
161,-0.32096863,-0.7272186,-0.33518982
182,-0.21231079,-0.48646545,-0.5397339
201,-0.20059204,-0.2425232,-0.58766174
221,-0.17182922,-0.07208252,-0.5621033
242,-0.07382202,-0.011352539,-0.51416016
261,0.10726929,0.036575317,-0.46516418
282,0.0071411133,0.32633972,-0.29045105
301,-0.3465271,0.17720032,-0.10935974
322,-0.66503906,-0.13172913,-0.017745972
341,-1.0400085,-0.10189819,0.17080688
361,-1.0847626,-0.31921387,0.16654968
382,-0.70552063,-0.12321472,-0.16688538
401,-0.18780518,0.19104004,-0.28086853
422,0.22232056,-0.09017944,-0.13066101
442,0.3043518,0.038711548,-0.10189819
461,0.2851715,0.18359375,-0.32774353
481,0.4098053,-0.05076599,-0.5503845
501,0.66760254,-0.36183167,-0.71229553
522,1.1043549,-0.9796753,-0.9903412
542,1.1895752,-1.3738251,-1.1021881
561,0.34483337,-1.4686432,-0.11682129
581,-0.45944214,-1.7818298,-0.44172668
601,-1.044281,-2.7107391,-0.07527161
622,-1.1476135,-2.8470917,-0.24357605
642,-0.27941895,-1.9895477,-0.47581482
662,0.9072876,-1.786087,-0.16368103
681,1.7158203,-2.1472168,-0.20629883
701,1.7115631,-2.5051422,-0.38313293
721,1.1672058,-2.7746582,-0.27661133
742,0.53871155,-2.7171326,-0.21376038
761,0.060409546,-2.278244,0.049362183
781,-0.2208252,-2.2121887,0.48825073
802,-0.42855835,-2.7075348,0.7513733
821,-0.35717773,-3.0271149,0.87068176
841,-0.1462555,-3.184784,1.0720215
861,0.04762268,-2.9855804,1.4438019
882,-0.3944702,-2.5765076,1.540741
901,-0.9164429,-2.2207184,1.4757538
921,-1.3127289,-1.6763611,1.2872009
941,-1.046402,-1.5517273,1.3415375
962,-0.60539246,-1.5740967,1.4278107
981,-0.4402771,-1.4643707,1.3862762
1001,-0.41151428,-1.085144,1.2989197
1021,-0.56277466,-0.86782837,1.2829437
1041,-0.57662964,-0.9977875,1.3937225
1062,-0.4956665,-1.2736969,1.3883972
1081,-0.39019775,-1.3280182,1.3564453
1101,0.039093018,-1.0467987,1.3266144
1121,0.49609375,-0.5940552,1.2200928
1142,0.5078125,0.030181885,1.0517731
