Milliseconds,X,Y,Z
2,0.5425873,0.4941101,9.993103
20,1.4847107,0.40193176,7.5869293
41,2.612381,0.6581116,10.155899
60,1.9575653,0.48812866,8.998306
80,2.0018616,1.0004883,10.920853
100,1.2788086,1.5140381,9.241318
120,-0.15531921,1.1166077,9.418488
140,0.7879944,0.4546051,9.220963
160,1.5876617,0.37200928,9.966766
181,1.8007507,0.39595032,8.922882
200,0.34268188,0.99090576,9.722549
220,2.0425568,0.27145386,8.948029
241,-0.43544006,1.0208435,11.8450165
260,1.2021942,0.8867645,8.629593
281,1.3757782,0.57432556,9.513062
300,1.2871857,0.7969818,7.9939423
321,-0.34924316,0.2953949,9.595657
340,0.6431427,1.050766,9.856628
360,2.0688934,0.7957916,10.510239
381,1.7528687,0.8939514,10.127167
400,-0.5886688,1.1800537,10.647919
420,0.6395569,1.1585083,8.637985
441,0.54977417,0.39595032,9.238922
460,1.3769684,0.1577301,10.579681
480,-0.05355835,0.619812,9.6124115
500,1.1938171,0.9430237,10.33667
520,1.9755249,0.26905823,9.30835
540,0.6287842,0.6605072,9.513062
561,0.5449829,0.8879547,9.559753
580,2.3945007,0.26426697,9.709381
601,1.9743195,0.5767212,9.891342
621,1.394928,1.1417542,10.191818
640,1.0764923,0.53482056,9.029434
660,0.81314087,1.193222,9.345459
681,1.9827118,-0.27682495,9.741699
700,2.3609924,0.9597931,10.499466
721,1.9815063,0.30497742,9.36821
740,1.2859955,1.4470062,10.874161
761,0.14157104,0.8807831,9.540588
780,0.766449,0.89634705,9.750092
801,1.5709076,0.17927551,9.158722
820,1.1686707,0.7167816,11.277588
841,0.86460876,0.837677,10.650299
860,2.4244385,0.9502106,8.961197
881,1.221344,0.30737305,10.098434
900,1.4236603,0.5898895,9.837479
921,0.29000854,0.74072266,11.545731
940,1.9874878,1.1632996,9.234131
963,0.13917542,0.53601074,10.155899
980,-0.07511902,0.6317749,10.245682
1000,2.462738,0.23553467,8.6870575
1021,3.4335938,0.17089844,9.693817
1040,2.5142212,0.3169403,9.838669
1061,-0.44979858,0.4151001,10.59404
1080,0.30197144,1.0244293,8.730148
1101,2.265213,0.06913757,9.5286255
1120,1.5936432,0.6485443,9.552567
1141,0.65512085,0.55636597,9.392151
1160,0.88256836,1.4362335,9.58609
1180,1.5744934,1.0447845,9.939224
1201,0.21218872,0.659317,10.560516
1220,0.7317352,0.5767212,9.797974
1241,1.1591034,0.6665039,9.544189
1260,-0.3899536,1.2889862,9.68425
1280,0.088897705,0.79937744,10.219345
1301,2.6087952,0.580307,7.981964
1320,2.1957855,0.3851776,10.146332
1341,0.2672577,1.1465302,10.603622
1360,0.9759369,1.5822754,10.805923
1380,0.78440857,0.55755615,10.110413
1401,-0.10862732,1.3177185,8.792404
1420,1.4248505,1.0687256,10.967545
1440,1.3099365,1.050766,10.384552
1461,0.6215973,0.1289978,9.68544
1480,2.636322,0.12301636,10.272018
1500,-0.05595398,1.2351227,10.052948
1521,0.75328064,0.659317,10.345047
1541,1.1890259,0.6676941,9.145554
1560,1.161499,-0.17266846,9.395737
1580,1.245285,1.0830841,9.36702
1601,-0.8903351,1.2063904,11.46434
1620,-0.1960144,-0.06253052,7.9005585
1640,1.9013062,0.15054321,10.149918
1661,0.7616577,0.19604492,9.446014
1680,0.47434998,0.20202637,10.49469
1700,1.9635468,0.020065308,9.345459
1721,0.61561584,0.81733704,9.995499
1740,0.07810974,0.8412781,9.582489
1760,1.5050659,0.4653778,9.967957
1781,0.7724304,0.08351135,9.223358
1801,-0.24031067,-0.030212402,8.85585
1821,0.30317688,0.2151947,10.439621
1840,0.8694,0.2942047,10.029007
1860,0.4216919,0.17808533,9.183853
1881,1.0441742,0.8448639,10.807129
1900,1.4775238,0.22236633,8.463196
1920,-0.107437134,1.0375977,8.118439
1940,2.3885193,-0.3630066,10.470734
1961,1.6930084,-0.49827576,9.675873
1980,0.01586914,0.5503845,11.730087
2000,1.2536774,-0.04219055,8.39975
2021,0.85025024,-0.18104553,9.724945
2040,1.0944519,-0.4827118,8.93486
2060,1.5936432,-0.340271,10.626358
2080,1.0178375,-0.06613159,10.39772
2101,-0.117004395,-0.4348297,9.999084
2120,0.05656433,-0.13316345,9.929657
2140,0.98072815,-0.72094727,9.317932
2161,0.23852539,-0.5210266,9.565735
2180,0.7592621,-0.4204712,10.647919
2200,0.67427063,0.059570312,8.7660675
2221,1.3422546,-0.3725891,9.7704315
2240,0.82270813,-1.2751923,8.377014
2260,1.1878357,-0.72572327,11.354202
2281,0.37141418,-0.2828064,10.184631
2300,0.78559875,-0.5258179,10.2397
2321,1.1650848,-0.45518494,9.1024475
2340,0.57492065,-1.3482208,9.095276
2360,1.5146332,-0.37138367,9.830292
2381,1.3530273,-1.0501404,8.774445
2400,0.9100952,0.35046387,10.826279
2420,1.339859,-0.07211304,9.50827
2441,0.79637146,0.46299744,10.629959
2460,1.5661163,-0.38336182,9.916489
2481,1.0932617,0.10745239,10.837051
2500,0.26367188,0.35884094,9.938034
2521,1.0896606,0.18287659,9.199417
2540,0.38458252,-0.27920532,10.704178
2561,0.884964,-0.11520386,9.759659
2580,0.60723877,0.65452576,11.132736
2600,0.27563477,-0.7628479,8.104065
2621,1.6223755,-0.75445557,12.03775
2640,1.4236603,-0.93881226,9.122803
2661,-0.020050049,0.4725647,9.345459
2680,-0.119400024,-1.0465546,7.613266
2700,0.9962921,-0.38934326,10.470734
2720,0.84187317,-0.13674927,11.258438
2741,-0.43902588,-0.23851013,8.73494
2760,-0.24389648,-0.2576599,10.333069
2780,-0.4845276,-0.56411743,7.3187714
2801,0.28042603,-0.47554016,12.499832
2820,-0.15292358,-0.9819031,7.0302734
2840,1.5565338,0.16012573,13.315048
2860,-0.24031067,-0.60601807,5.7565613
2880,0.98072815,-0.41926575,11.390106
2901,0.07093811,-0.8143158,6.4724274
2920,0.40852356,-0.3905487,11.783966
2940,-0.42945862,-0.503067,10.072113
2961,1.608017,-0.038589478,9.059357
2980,0.19064331,-0.93162537,10.754456
3000,0.67308044,-0.11999512,9.301178
3021,0.95918274,-0.24209595,12.243652
3040,-0.07989502,-0.020645142,8.549393
3060,0.509079,0.13378906,10.866974
3081,1.3075409,-0.5617218,7.9436646
3100,0.73413086,0.5659485,11.028595
3120,0.030227661,0.41151428,8.234558
3141,0.31874084,0.75987244,10.262451
3160,1.1758575,0.32173157,8.851059
3181,0.8873596,-0.10084534,9.134781
3200,1.5661163,1.5667114,10.7855835
3221,-0.069122314,0.3755951,9.805145
3240,-0.53718567,1.5487671,10.451584
3260,0.10684204,0.6868439,7.278076
3281,0.33668518,0.43426514,8.369827
3300,2.205368,0.7359314,10.212173
3321,0.8011627,0.9645691,10.797546
3340,0.45640564,1.7965546,9.888947
3361,0.6383667,0.7431183,10.251678
3380,0.1511383,0.38757324,7.504318
3400,0.8083496,0.40193176,11.546936
3421,-0.6628876,0.4713745,8.830719
3440,0.69581604,1.5715027,10.531799
3461,1.0334015,1.1992035,11.114777
3480,0.65512085,1.0615387,8.67749
3501,1.4595642,1.0184479,11.432007
3520,-0.644928,0.8628235,7.6874847
3540,0.548584,1.3380737,11.542145
3561,0.92926025,0.8664093,8.815155
3580,1.5014648,0.86761475,9.683044
3600,1.2309265,1.3153229,10.742477
3620,1.4176788,1.5379944,9.551361
3640,1.2261353,1.7007904,10.768814
3661,0.12361145,0.2726593,8.61882
3680,0.34028625,1.2686462,10.045776
3701,0.8382721,0.6605072,9.460388
3720,0.548584,1.2147675,9.054565
3740,0.55336,0.7718353,11.064499
3760,1.0705109,0.67248535,7.518692
3780,1.2117767,1.2219543,11.754028
3801,0.017059326,0.49531555,6.9500732
3820,0.072128296,1.734314,11.454758
3841,-0.7814026,-0.11280823,7.088928
3860,1.02742,1.4278564,10.49588
3881,0.39175415,0.12780762,10.191818
3900,0.46717834,1.7163544,9.52742
3921,1.2967682,0.41630554,11.015427
3940,0.7377167,1.2363129,7.139206
3960,0.58688354,1.4829254,12.732071
3981,0.1511383,1.1884308,6.715439
4000,0.8993225,2.4046936,11.64151
4020,0.16072083,0.20202637,6.941681
4041,0.7616577,2.7374878,11.901276
4060,0.57611084,0.6665039,8.87381
4080,0.5892792,1.6014404,9.674667
4101,0.85025024,0.94662476,11.448776
4120,0.62280273,1.1968079,8.20224
4141,0.97714233,1.773819,13.267166
4160,-0.19122314,0.48812866,7.0973053
4181,0.46357727,2.1628723,11.557709
4200,-0.19482422,0.44622803,6.5610046
4221,1.1124115,2.0252075,8.201035
4240,0.5318146,0.06794739,8.790009
4261,0.6539154,1.7391052,7.37265
4280,0.9663696,1.279419,9.739319
4301,0.036224365,0.6497345,6.9117584
4320,0.8239136,1.6648865,11.524185
4341,-0.21038818,0.6461487,8.434479
4360,1.240509,1.7211456,10.561722
4380,0.48513794,0.8759918,9.402924
4401,0.7293396,1.5978394,8.275253
4420,0.24450684,1.7965546,11.833038
4440,-0.37557983,1.284195,6.8411255
4461,0.8801727,2.0359802,12.104782
4480,-0.13856506,1.1022491,7.345108
4500,0.6634979,2.4190521,11.569672
4521,0.5701294,1.2183685,8.272858
4540,0.83947754,1.6421356,8.927673
4560,0.92207336,1.6912231,11.438004
4580,0.21697998,0.91908264,7.6479797
