Milliseconds,X,Y,Z
1,-0.10111523,-0.13270056,0.85826683
20,0.28331602,-0.69813776,-1.9880333
41,1.4144046,-0.43799806,0.5839443
60,0.7729174,-0.5994015,-0.5766096
81,1.211193,-0.49955297,0.33364582
100,0.14351106,0.44055378,-0.34315777
120,-1.2536174,0.054518104,-0.17006588
140,-1.8837904,0.15383804,-0.16728306
160,0.5324451,-0.6613157,0.3710146
180,0.74580455,-0.6318331,-0.67555046
201,1.1048561,-0.7101798,-0.5920057
220,1.0118291,-0.72879004,-0.6515465
240,-1.4527371,0.04441452,2.237152
261,0.17384124,-0.08303946,-0.9772768
280,0.3706001,-0.37948382,-0.097826004
301,1.0487837,-0.66431165,-1.418436
320,-1.2858653,-0.61884,-0.016665459
340,-0.28688622,0.16243488,0.23871994
361,1.4229362,-1.059128,-0.16671085
380,0.8335034,0.0057762265,0.50587654
400,-1.506219,0.30216777,1.0252905
421,-0.28490472,0.28174484,-0.98251057
440,-0.3587289,-0.47730935,-0.38346767
460,0.46717453,-0.71382535,0.9519777
481,0.028514981,-0.26111585,0.67113495
500,0.28426534,0.03995055,0.7147083
521,-0.45605093,0.39800197,-0.025876045
540,-0.30486757,-0.25998038,-0.10325432
560,-0.4181872,-0.049828768,-0.05748272
582,1.4092007,-0.6987691,0.09815979
600,0.97513586,-0.39723057,0.2833767
620,0.38732803,0.15851086,0.5838251
641,0.846759,-0.18546116,-0.48878384
660,-0.15350449,0.191885,-0.26059532
680,1.0347977,-1.2687469,0.13449955
700,1.4366641,-0.021299839,0.8826456
721,1.0685909,-0.69350666,-0.25119495
740,0.38265753,0.43872964,1.2528772
760,-0.75320613,-0.15331876,-0.07546139
781,-0.12873769,-0.1331948,0.13174152
800,0.6868074,-0.85146916,-0.46096992
821,0.29434627,-0.30928898,1.6510324
840,-0.01891005,-0.18965042,1.0250378
860,1.5310744,-0.07433367,-0.6685896
880,0.3422917,-0.7071589,0.47018242
901,0.93790627,-0.43286657,-1.7401752
920,-0.9310276,-0.5872903,2.5143013
940,1.2009736,-0.33162773,-1.8429241
962,-0.04160303,-0.42389137,-0.31877804
980,-0.34427786,-0.03513962,0.6171608
1000,-0.070227504,-0.6042921,-0.334939
1021,2.5120442,-0.814286,0.056635857
1040,1.5895827,-0.67994875,0.1991167
1060,-1.3663808,-0.57845014,0.9532337
1081,-0.5933028,0.04017365,-0.91189384
1100,1.4075766,-0.88836056,-0.11754131
1120,0.46303827,-1.4984672,-1.9335938
1141,-0.14614785,-0.40714425,-0.25333118
1160,-0.71246886,-0.76457614,-0.24604702
1180,0.7917337,0.07464719,0.29395008
1200,-0.5684066,-0.31997013,0.9138441
1221,-0.05750096,-0.41731387,0.15006065
1240,0.36909187,-0.34773898,-0.098885536
1260,-1.1715906,0.2572732,0.045927048
1281,-0.686258,-0.2327882,0.5792389
1300,1.8232965,-0.47389674,-1.6597719
1320,1.4289681,-0.675213,0.5040579
1341,-0.4873675,0.07666576,0.96028614
1360,0.21147144,0.5150231,1.1653004
1380,0.03201151,-0.5065651,0.46495152
1400,-0.857015,0.24670064,-0.8541851
1421,0.67191744,0.003657937,1.3208199
1440,0.56385607,-0.014768243,0.733655
1460,-0.13287729,-0.9303578,0.03687191
1481,1.8783083,-0.92619514,0.620306
1500,-0.7976141,0.19150877,0.3966465
1520,-0.011382341,-0.3804053,0.689188
1541,0.4331609,-0.35830903,-0.5142603
1560,0.40162444,-1.1893952,-0.26416683
1580,0.49924332,0.0737021,-0.29351902
1601,-1.6255524,0.21489656,1.802597
1620,-0.9490168,-1.0543458,-1.760767
1640,1.1527941,-0.8182478,0.4839611
1661,0.019604206,-0.7775417,-0.2223692
1680,-0.27136034,-0.7550777,0.8263073
1700,1.2111399,-0.93244416,-0.32367897
1720,0.327128,-0.9679849,-0.7298145
1741,0.29554588,-0.8943542,0.85189724
1760,0.5867557,-0.33599663,-0.5171585
1781,0.027838647,-0.8399764,-0.4403658
1800,-0.9793058,-0.9553538,-0.8085966
1820,-0.4445688,-0.700149,0.77487946
1841,0.112494946,-0.6246107,0.36196232
1860,-0.32986903,-0.74639475,-0.47914028
1880,0.2953627,-0.06918186,1.1411896
