Milliseconds,X,Y,Z
3,-1.2554474,4.014786,8.807968
21,-0.99687195,4.0770416,8.490738
42,-0.8220978,4.160843,8.7948
61,-0.5359955,4.2278748,8.834305
81,-0.20201111,4.275757,8.253708
102,-0.0942688,4.3212433,7.743744
121,-0.006881714,4.3332214,7.798813
141,-0.18045044,4.2350616,8.046616
162,-0.34565735,4.002823,8.409332
181,-0.6760559,3.9896545,8.961197
201,-0.6545105,4.083023,9.249695
222,-0.6401367,4.291321,8.621216
242,-0.7012024,4.488846,7.925705
261,-0.9106903,4.5558777,7.8957825
281,-0.98490906,4.557083,8.375809
302,-1.0459595,4.449341,8.992325
321,-1.0567322,4.40744,9.079712
342,-0.81851196,4.4553223,8.710999
361,-0.5934601,4.5319366,8.423691
382,-0.4988861,4.521164,8.302795
401,-0.5563507,4.536728,8.507492
421,-0.44621277,4.5271454,8.676285
441,-0.2714386,4.5008087,8.669098
462,-0.40431213,4.4553223,8.604462
482,-0.5000763,4.450531,8.482361
501,-0.56352234,4.4158173,8.330322
521,-0.55514526,4.3763123,8.347076
541,-0.60183716,4.352371,8.570938
562,-0.5539551,4.3966675,8.518265
583,-0.40670776,4.430176,8.18428
601,-0.34684753,4.4673004,8.070557
621,-0.44740295,4.3571625,8.325531
642,-0.5886688,4.1560516,8.816345
661,-0.68203735,4.026764,9.17308
682,-0.6281738,4.004013,9.074921
701,-0.25468445,4.146469,8.384201
722,-0.020050049,4.220688,8.094498
741,-0.047576904,4.162033,8.313568
762,-0.08708191,4.055496,8.575729
781,-0.021240234,3.9513397,8.61763
802,0.062561035,3.9034576,8.731354
821,0.25169373,3.8914948,8.910919
841,0.19662476,3.790924,8.951614
862,0.041000366,3.640091,9.325119
881,-0.04878235,3.5048218,9.431656
901,-0.27742004,3.564682,9.356247
922,-0.10983276,3.6736145,8.6475525
941,-0.16130066,3.7155151,8.530243
961,-0.37438965,3.7514343,8.621216
982,-0.37557983,3.7645874,8.8367
1001,-0.29896545,3.7203064,9.029434
1022,0.033828735,3.7957153,9.304764
1041,0.32112122,3.8735352,8.986328
1061,0.5306244,3.8268433,8.951614
1082,0.5665283,3.822052,9.01506
1101,0.509079,3.790924,8.980347
1121,0.38098145,3.801712,8.829514
1141,0.3474579,3.8208618,8.768463
1161,0.5832977,3.810089,8.47876
1181,0.59046936,3.8986664,8.315964
1201,0.46836853,3.813675,8.353073
1222,0.27323914,3.790924,8.502701
1241,0.3450775,3.7490387,8.931274
1262,0.37739563,3.6939697,8.997116
1281,0.32711792,3.7143097,8.664322
1302,0.30317688,3.6496735,8.575729
1321,0.31155396,3.6113586,9.089279
1341,0.29119873,3.5550995,9.118011
1362,0.3247223,3.5419312,8.963593
1381,0.53900146,3.5084229,8.902542
1402,0.64434814,3.478485,8.983948
1421,0.63716125,3.3899078,9.09407
1441,0.58569336,3.3815155,9.135971
1462,0.5952606,3.3456116,9.080902
1481,0.6886444,3.3300476,9.036621
1502,0.74250793,3.2426605,8.888168
1521,0.8586273,3.2905426,8.67868
1541,0.9723511,3.3025208,8.616425
1562,0.87898254,3.2845612,8.628403
1582,0.9388275,3.312088,8.77565
1601,0.963974,3.272583,8.963593
1622,1.0657196,3.2187195,9.104843
1641,1.1387482,3.2318878,8.918106
1662,1.2081757,3.236679,8.643967
1682,1.3063354,3.2989197,8.649948
1701,1.0872803,3.303711,8.786423
1722,0.77363586,3.3132935,9.307159
1741,0.85743713,3.3539886,9.520248
1762,1.042984,3.398285,9.6124115
1781,1.0022736,3.4174347,9.636368
1802,0.8370819,3.4138489,9.566925
1821,0.7724304,3.4748993,9.618408
1841,0.7724304,3.5239716,9.633972
1862,0.6790619,3.5227814,9.705795
1881,0.66708374,3.5539093,9.680649
1902,0.73413086,3.6209412,9.377792
1921,0.7772217,3.7167053,9.114426
1941,0.76405334,3.7143097,8.987534
1962,0.77363586,3.6149597,8.857056
1981,0.6970215,3.470108,9.046188
2002,0.49230957,3.3049011,8.957611
2021,0.5030823,3.2510376,8.074142
2041,0.34268188,3.1373138,6.5885468
2062,0.20262146,2.8583832,5.557831
2081,-0.29777527,2.3603973,4.973648
2102,-1.075882,1.8204956,4.84317
2121,-2.028778,1.114212,4.648041
2141,-1.7989349,0.5874939,5.712265
2162,0.27923584,-0.52342224,8.806763
2181,2.6111755,-2.020996,10.351028
2202,1.8222961,-2.2173157,12.665024
2221,-0.6856384,-1.6151733,13.0864105
2241,-1.8204803,-1.5337677,11.105209
2262,-0.802948,-0.73651123,11.697769
2281,0.9532013,-0.6467285,10.084076
2301,2.3777466,-0.9232483,9.082108
2322,0.8011627,-0.39892578,8.763672
2342,-0.4414215,-0.80952454,9.262863
2361,-2.5435333,-1.2799835,12.450745
2381,-0.43544006,-0.2828064,12.341812
2402,-0.04878235,-0.73291016,10.871765
2421,0.5126648,-0.48750305,10.343842
2442,-0.124191284,-0.46595764,10.731705
2461,-0.97055054,-0.25167847,10.985489
2481,-1.2351074,-0.21936035,10.687408
2502,-1.0567322,-0.0026855469,10.768814
2521,-0.7993622,0.07632446,10.728119
2541,-0.78977966,-0.11880493,9.334686
2562,-0.04399109,0.06315613,8.909714
2581,0.4444275,-0.04219055,9.601639
2601,0.6311798,-0.16668701,10.98909
2621,-2.4884644,3.185196,13.367722
2642,-0.23791504,-1.4463806,10.701782
2661,-1.4338226,-1.5277863,9.074921
2681,-3.5526886,-0.39292908,7.2361755
2701,0.49111938,0.52404785,8.186676
2722,2.7189178,1.2123718,9.119217
2741,3.0241852,1.3572235,8.920502
2761,1.652298,1.2997589,8.563751
2782,0.017059326,-1.1279602,4.158432
2801,-0.78977966,-1.4882812,9.106049
2821,-4.440933,0.39715576,15.526093
2841,-3.119339,-0.6072235,17.298996
2862,-2.1556702,-2.625534,16.086334
2881,-1.9198456,-2.7033386,11.531372
2901,-1.0244141,-3.322235,8.511093
2922,-3.3515778,-2.3741455,6.316803
2941,-4.2601776,-4.495407,8.79361
2961,-3.8052826,-3.432373,12.461517
2981,-1.3631897,-2.7368622,13.689743
3002,0.030227661,-2.6147614,11.127945
3021,-0.05355835,-2.2424622,7.9783783
3041,-0.6161957,-2.1562653,7.5917053
3062,-2.0215912,-2.0497284,8.614044
3081,-2.1879883,-1.9347992,11.090836
3102,-2.3711548,-1.5337677,13.006195
3121,-2.0646973,-1.617569,11.478699
3142,1.9084778,-0.57369995,8.354263
3161,2.517807,0.051193237,6.826767
3182,1.4727325,-1.3146973,6.5681915
3201,-0.33728027,-1.5493317,7.1607513
3221,1.5541382,-1.22612,7.7389526
3242,2.2065582,-1.0070496,9.774033
3261,-0.51924133,0.2654724,11.490677
3282,-2.004837,2.4956665,11.515808
3301,-0.5348053,2.0934448,9.836273
3322,-2.0168152,3.0798492,9.774033
3341,-1.8037262,1.2566681,9.27005
3361,-3.1253204,1.6541138,9.775223
3382,-2.106598,1.2004089,6.902176
3401,-1.6696472,0.16012573,6.1061096
3421,-0.91308594,-0.3223114,4.7976837
3441,-1.5008545,-0.6167908,5.4022217
3462,-3.5598755,-0.6191864,6.770508
3481,-5.387848,-0.6958008,20.467728
3501,-4.7533875,-0.4492035,9.839874
3522,-3.7346497,0.52523804,9.894928
3541,-3.7897186,0.96936035,8.642761
3561,-3.7131042,0.55397034,8.5134735
3581,-3.9465332,0.15533447,8.712204
3602,-4.281723,0.3564453,8.8450775
3621,-4.063858,0.22476196,8.695435
