Milliseconds,X,Y,Z
2,0.001159668,0.034820557,0.14968872
21,0.009689331,-0.053588867,0.21359253
41,0.11727905,-0.032287598,0.24023438
62,0.29518127,-0.02696228,0.2775116
81,0.39317322,-0.035476685,0.26153564
102,0.3324585,-0.06851196,0.18270874
121,0.20249939,-0.080215454,0.08576965
141,0.0544281,-0.091934204,-0.022888184
161,-0.05848694,-0.08555603,-0.095321655
182,-0.08938599,-0.06637573,-0.095321655
201,0.0064849854,-0.002456665,-0.041000366
221,0.121536255,0.09767151,-0.025024414
242,0.08319092,0.11366272,-0.044189453
261,-0.04890442,0.08062744,-0.062301636
281,-0.12879944,0.02204895,-0.050582886
301,-0.0904541,-0.016311646,-0.010101318
321,0.009689331,-0.0013885498,0.061264038
341,0.07359314,-0.0013885498,0.14329529
361,0.078933716,-0.0131073,0.16033936
382,0.026733398,-0.047195435,0.15074158
401,-0.009490967,-0.053588867,0.14009094
421,9.1552734E-5,-0.042938232,0.14329529
441,0.039505005,-0.05039978,0.11665344
463,0.065078735,-0.06851196,0.08151245
482,0.060821533,-0.051467896,0.068725586
501,0.02885437,0.02204895,0.076171875
521,-0.016952515,0.08062744,0.08363342
541,-0.029724121,0.08808899,0.078308105
562,0.016082764,0.05293274,0.09321594
581,0.0309906,0.039093018,0.08576965
602,-0.008422852,-0.002456665,0.04421997
621,-0.10429382,-0.05784607,0.0016174316
642,-0.12986755,0.0071258545,-5.187988E-4
661,-0.08192444,7.324219E-4,0.049545288
681,0.0501709,0.0103302,0.12944031
702,0.133255,0.065719604,0.19335938
721,0.08958435,0.046539307,0.17631531
742,0.03312683,-0.020568848,0.14009094
761,0.0309906,-0.053588867,0.1209259
781,0.035247803,-0.04826355,0.1209259
801,0.04057312,-0.028030396,0.111328125
822,0.041641235,-0.045074463,0.066589355
841,0.008621216,-0.041870117,0.022918701
861,-0.025466919,-0.002456665,-0.013305664
881,-0.021209717,0.050811768,-0.023956299
902,0.032058716,0.13815308,0.019714355
921,0.026733398,0.16052246,0.049545288
941,-0.018005371,0.12750244,0.03463745
961,-0.029724121,0.024169922,0.03996277
982,-0.038253784,-0.047195435,0.09535217
1001,-0.024398804,-0.05039978,0.16140747
1021,0.029922485,-0.02696228,0.21891785
1041,0.06614685,-0.021636963,0.23916626
1062,0.03845215,-0.0035247803,0.21891785
1081,0.029922485,0.005004883,0.17738342
1101,0.062942505,0.061462402,0.1443634
1122,0.1013031,0.09980774,0.13690186
1141,0.14604187,0.067855835,0.13690186
1161,0.16308594,0.0060577393,0.11878967
1182,0.10449219,-0.008850098,0.059127808
1201,0.016082764,0.020980835,-0.0015869141
1221,-0.049972534,0.060394287,-0.023956299
1241,-0.049972534,-3.3569336E-4,-0.022888184
1262,0.009689331,-0.06637573,-0.017562866
1281,0.027801514,-0.04826355,-0.022888184
1301,-0.052093506,0.0028686523,-0.0069122314
1322,-0.0904541,-0.0056610107,0.0016174316
1341,-0.05529785,-0.039749146,0.021850586
1361,-0.022277832,-0.01524353,0.049545288
1381,-0.02760315,-0.05039978,0.06765747
1402,-0.040390015,-0.070632935,0.05807495
1421,-0.024398804,-0.0056610107,0.05380249
1441,0.01927185,0.01991272,0.057006836
