Milliseconds,X,Y,Z
2,-0.49634957,-0.020208836,0.8130741
21,1.3417151,-0.17803544,0.6514902
41,-1.1724682,-1.0646999,-0.31695175
62,-0.23319602,0.11806178,1.4634857
81,-0.6120296,-0.7230618,0.37581253
101,0.656376,0.08813268,-1.5985861
122,0.6737915,-1.1991482,1.707551
141,-0.15535617,-0.7477067,-1.2639608
161,-0.7627778,0.12310165,1.5919294
182,0.7611084,-0.81172174,-0.19184113
201,-0.1702978,-0.8150092,0.39958096
222,-0.18630028,-0.3885315,-1.9281073
241,-0.0011873245,-0.24094707,3.009923
261,-0.73104596,-0.64526504,-1.0188837
282,-0.21012509,-0.39476222,-0.8115034
301,0.12705833,-1.0805786,-0.055311203
321,0.33088624,-0.2406928,-0.28199005
342,-0.49731404,-0.7709713,0.63140774
361,0.4911285,-0.70538163,0.021297455
381,0.6081406,-0.67869675,0.79515934
401,-0.9376525,-0.5669812,-0.47651196
421,-0.66105634,-0.8979553,0.579195
442,-1.0157909,-0.8507971,-0.15311813
462,-0.66787827,-1.5674647,-1.3499508
482,1.0218008,-0.9087752,-1.4735336
501,0.92117316,-1.6909639,2.3352356
521,-0.52864313,-0.7584721,-1.3510752
542,0.2671246,-0.94836664,0.6958475
561,-1.2441504,-1.3566234,-0.6120148
581,0.2660349,-1.5568645,-0.4728737
605,0.38095182,-1.8282685,1.3098526
621,-0.15299797,-1.0741327,0.43849182
642,-0.3926925,-1.1652894,1.1240788
661,-0.5478056,-1.5761926,-0.10272503
681,0.007478535,-1.1567681,2.4207249
702,-0.2848854,-1.307759,-0.493083
721,-1.2807622,-1.0009406,0.4521036
741,-1.3468044,0.030127704,-0.28045273
761,-0.96306646,-1.6180649,-0.22950935
782,1.9259303,-2.0790706,0.76597977
801,-0.71516615,-1.2073493,-2.0754156
821,0.9755471,-0.3089761,-0.31553268
842,-0.73864144,-1.7512324,3.5145388
861,0.21210557,-1.2389262,-2.4871054
882,-0.021598756,-1.2425547,0.90784454
901,0.05567503,-0.9205977,1.9983778
921,-0.7303225,-1.0557534,2.4508772
942,-0.035538137,-1.1275537,0.56040573
961,-0.18687183,-1.4695222,0.29669
981,-1.296022,-1.0890647,-0.010215759
1001,-0.5907834,-0.6690992,2.2399845
1022,-0.16663438,-1.1272666,-0.49009228
1041,0.808808,-1.7142453,-0.64557266
1061,0.39683807,-1.1658869,1.5437889
1082,-2.391695,-1.0441658,-0.14459705
1101,0.8156518,-1.8979778,0.65854454
1122,-0.40486658,-1.0866752,-0.7197561
1141,-0.6759303,-1.53181,-0.48365307
1161,-0.44403195,-1.7207148,0.23952389
1181,-0.15215605,-0.98371625,2.5022259
1201,-0.36182177,-0.7870665,0.31029797
1222,-0.76510614,-0.8487321,-1.0809326
1241,0.37781996,-2.1221151,1.2299709
1261,-0.89056957,-1.8221493,-0.8349962
1281,-0.18089247,-0.5334205,-1.9821491
1302,0.36439013,-1.7639976,2.779564
1321,0.42384094,-1.4234022,-1.9069557
1341,0.074275315,-1.7864742,0.36178207
1361,-0.29752117,-1.3268038,1.2340126
1381,0.038512766,-0.7209048,0.56317616
1402,-0.7391467,-1.5746093,-0.88566685
1421,0.20550889,-1.3758159,-1.0370588
1441,-0.69571817,-2.713083,-1.1366014
1461,2.1192963,-1.0804772,1.5310373
1482,-0.73793626,-1.1797134,-0.057393074
1501,0.34693587,-1.3982346,-1.4636745
1521,-0.79679203,-1.7793694,3.9914923
1541,-0.004825473,-0.084825456,-4.7677584
1562,-0.4646293,-1.2046926,5.3800488
1581,-0.21411109,-0.67796457,-1.5470161
1601,0.10411179,0.24463555,-0.8374548
1621,-0.83974457,-0.3722719,1.6538687
1642,-0.26344746,0.24740481,-2.9107113
1661,-0.74522954,-0.84957194,3.5100327
1681,-0.9887074,4.3058395E-4,-0.42656136
1702,-0.7555411,1.3393335,1.041605
1721,-1.1136657,-0.99876106,0.1802969
