RT,LT,ST
0.0870582124,0.0438773539,0.0018023477
0.0907073213,0.0422019391,0.0003947567
0.0863243343,0.0414088562,0
0.0809051181,0.0409747095,0.0004488609
0.0780887346,0.0405906233,0.0008677976
0.0750512967,0.0429024826,0.0013128198
0.0731986962,0.0460102998,0.0016316262
0.0611394235,0.0470681749,0.0040826324
0.0457637096,0.0481754497,0.0069897319
0.0414361548,0.051875959,0.0122992477
0.0407372788,0.0578200689,0.0197698195
0.0430164276,0.0681047807,0.032104645
0.043438626,0.08241047,0.0454066261
0.0153688431,0.1060159056,0.0677136901
0.008425466,0.1176460318,0.0802041488
0.0081445577,0.1201371268,0.0839843448
0.0014460341,0.1210052927,0.0854244614
0,0.1232891163,0.0863243343
0.0005399663,0.1272501486,0.0889034406
0.001505353,0.1385406233,0.0943090477
0.0051039885,0.129329032,0.0879550525
0.01381611,0.1242924214,0.0841446937
0.0322214506,0.122695256,0.083701508
0.0450700829,0.0790003578,0.0760449278
0.0604338376,0.0651936655,0.0628918174
0.0547760076,0.0495071652,0.047858899
0.0503514324,0.0353373149,0.034132757
0.0496206085,0.0270577821,0.026506806
0.0505687115,0.0201828368,20229507953
0.0650169437,0.0146309395,0.0152419318
0.0919985866,0.0133597769,0.0140471498
0.0909580214,0.0133774151,0.014512819
0.089620151,0.0119547675,0.0134272817
0.0890534414,0.0112226085,0.0130457483
0.0948769647,0.0099091418,0.0122878521
0.0980771928,0.0401490681,0.011141358
0.0917434619,0.0419921232,0.0063338651
0.09112225,0.0416953222,0.0065984997
0.0905378752,0.0421986723,0.0076906605
0.0901405042,0.0427252419,0.0084553281
0.0902545965,0.0417220277,0.0056692731
0.0901933084,0.0412565668,0.0057224583
0.0894049457,0.0411379988,0.0062330859
0.0878526743,0.0436267845,0.0037771742
0.0862177143,0.0419386861,0.0024330913
0.0828909034,0.0481947188,0.0048935007
0.0811334981,0.0486741425,0.006121651
0.0799064148,0.049568184,0.0079184677
0.0789890431,0.0500770492,0.0094548539
0.0784666248,0.0512781932,0.0108723678
0.0776814446,0.0523211736,0.0119323128
0.0757607816,0.0500627826,0.0118829611
0.0736444178,0.0487756912,0.0103793663
0.0725146029,0.0475144921,0.0114609166
0.0720140403,0.0459639207,0.0104365546
0.0713076687,0.0447950564,0.0097878459
0.0702058007,0.0440899225,0.0096567052
0.0734718093,0.0409062644,0.0068569924
0.0882357483,0.0378769777,0.0040578101
